Object Type,Item ARK,Parent ARK,Title,Local identifier,File Name,Visibility,Date.created,Date.normalized,Contents note,Format.extent,Type.typeOfResource,Genre,Language,Name.creator,Name.subject,Place of origin,Publisher.publisherName,Repository,Rights.copyrightStatus,Rights.rightsHolderContact,Contributor,Subject topic,Program,IIIF Access URL,Waveform,media.width,media.height,media.duration,media.format,IIIF Manifest URL
Work,ark:/21198/z14n1wj0,ark:/21198/z19c9kx1,Universidad del Aire 1949-12-25,ihc_udelaire_19491225,Masters/othermasters/DEPuniversidaddelaire/audio/ihc_udelaire_19491225.wav,open,1949-12-25,1949-12-25,Preguntas y Respuestas. Tiene el cubano una actitud adecuada ante la vida? | Universidad del Aire.|~|Parts 1-3,00 hr. 31 min. 38 sec.,sound recording,radio programs,spa,"Universidad del Aire|~|Pons, César Garcia, Dr.|~|Baralt, Luis A., Dr.|~|Mañach, Jorge, Dr.",,Havana (Cuba),Circuito CMQ Radiocentro Habana,Instituto de Historia de Cuba,unknown,"http://www.ihc.cu/, webmaster@ihc.cu","Pons, César Garcia, Dr.|~|Baralt, Luis A., Dr.|~|Mañach, Jorge, Dr.",Cuba--politics and government--1933-1959|~|Radio programs--Cuba,International Digital Ephemera Project,https://wowza.library.ucla.edu/iiif_av_public/definst/mp4:othermasters/pairtree_root/21/19/8=/z1/4n/1w/j0/21198=z14n1wj0/ark%2B=21198=z14n1wj0.mp4{},https://static.library.ucla.edu/ark%3A%2F21198%2Fz14n1wj0%2Faudiowaveform.dat,,,1898.502729,audio/x-wav,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz14n1wj0/manifest
Work,ark:/21198/z10w14s6,ark:/21198/z19c9kx1,Universidad del Aire 1950-01-01,ihc_udelaire_19500101,Masters/othermasters/DEPuniversidaddelaire/audio/ihc_udelaire_19500101.wav,open,1950-01-01,1950-01-01,Es posible aumentar el ingreso nacional cubano? Cómo movilizar socialmente la riqueza cubana?|~|Parts 1 and 2,00 hr. 23 min. 50 sec.,sound recording,radio programs,spa,"Universidad del Aire|~|Lopez Pesquet, Dr.|~|Alienes, Julian, Dr.|~|Mañach, Jorge, Dr.",,Havana (Cuba),Circuito CMQ Radiocentro Habana,Instituto de Historia de Cuba,unknown,"http://www.ihc.cu/, webmaster@ihc.cu","Lopez Pesquet, Dr.|~|Alienes, Julian, Dr.|~|Mañach, Jorge, Dr.",Cuba--politics and government--1933-1959|~|Radio programs--Cuba,International Digital Ephemera Project,https://wowza.library.ucla.edu/iiif_av_public/definst/mp4:othermasters/pairtree_root/21/19/8=/z1/0w/14/s6/21198=z10w14s6/ark%2B=21198=z10w14s6.mp4{},https://static.library.ucla.edu/ark%3A%2F21198%2Fz10w14s6%2Faudiowaveform.dat,,,1430.229333,audio/x-wav,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz10w14s6/manifest
Work,ark:/21198/z1w40nbp,ark:/21198/z19c9kx1,Universidad del Aire 1950-01-08,ihc_udelaire_19500108,Masters/othermasters/DEPuniversidaddelaire/audio/ihc_udelaire_19500108.wav,open,1950-01-08,1950-01-08,Tiene la juventud universitaria un programa? Preguntas y Respuestas.|~|Parts 1-4,00 hr. 29 min. 47 sec.,sound recording,radio programs,spa,"Universidad del Aire|~|Roa, Raul, Dr.|~|Padilla, Juan Antonio Rubio, Dr.|~|Mañach, Jorge, Dr.",,Havana (Cuba),Circuito CMQ Radiocentro Habana,Instituto de Historia de Cuba,unknown,"http://www.ihc.cu/, webmaster@ihc.cu","Roa, Raul, Dr.|~|Padilla, Juan Antonio Rubio, Dr.|~|Mañach, Jorge, Dr.",Cuba--politics and government--1933-1959|~|Radio programs--Cuba,International Digital Ephemera Project,https://wowza.library.ucla.edu/iiif_av_public/definst/mp4:othermasters/pairtree_root/21/19/8=/z1/w4/0n/bp/21198=z1w40nbp/ark%2B=21198=z1w40nbp.mp4{},https://static.library.ucla.edu/ark%3A%2F21198%2Fz1w40nbp%2Faudiowaveform.dat,,,1787.563646,audio/x-wav,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1w40nbp/manifest
Work,ark:/21198/z1rb9wjh,ark:/21198/z19c9kx1,Universidad del Aire 1950-01-15,ihc_udelaire_19500115,Masters/othermasters/DEPuniversidaddelaire/audio/ihc_udelaire_19500115.wav,open,1950-01-15,1950-01-15,Preguntas y Respuestas.|~|Parts 1-4,00 hr. 30 min. 36 sec.,sound recording,radio programs,spa,"Universidad del Aire|~|Mañach, Jorge, Dr.|~|Sotto, León, Dr.|~|Arango, Herrera, Dr.",,Havana (Cuba),Circuito CMQ Radiocentro Habana,Instituto de Historia de Cuba,unknown,"http://www.ihc.cu/, webmaster@ihc.cu","Mañach, Jorge, Dr.|~|Sotto, León, Dr.|~|Arango, Herrera, Dr.",Cuba--politics and government--1933-1959|~|Radio programs--Cuba,International Digital Ephemera Project,https://wowza.library.ucla.edu/iiif_av_public/definst/mp4:othermasters/pairtree_root/21/19/8=/z1/rb/9w/jh/21198=z1rb9wjh/ark%2B=21198=z1rb9wjh.mp4{},https://static.library.ucla.edu/ark%3A%2F21198%2Fz1rb9wjh%2Faudiowaveform.dat,,,1836.957375,audio/x-wav,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1rb9wjh/manifest
Work,ark:/21198/z1mk94t5,ark:/21198/z19c9kx1,Universidad del Aire 1950-01-22,ihc_udelaire_19500122,Masters/othermasters/DEPuniversidaddelaire/audio/ihc_udelaire_19500122.wav,open,1950-01-22,1950-01-22,Preguntas y Respuestas.|~|Parts 1-4,00 hr. 38 min. 55 sec.,sound recording,radio programs,spa,"Universidad del Aire|~|Menocal, Dr.",,Havana (Cuba),Circuito CMQ Radiocentro Habana,Instituto de Historia de Cuba,unknown,"http://www.ihc.cu/, webmaster@ihc.cu","Menocal, Dr.",Cuba--politics and government--1933-1959|~|Radio programs--Cuba,International Digital Ephemera Project,https://wowza.library.ucla.edu/iiif_av_public/definst/mp4:othermasters/pairtree_root/21/19/8=/z1/mk/94/t5/21198=z1mk94t5/ark%2B=21198=z1mk94t5.mp4{},https://static.library.ucla.edu/ark%3A%2F21198%2Fz1mk94t5%2Faudiowaveform.dat,,,2335.464771,audio/x-wav,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1mk94t5/manifest
Work,ark:/21198/z1gt8d5r,ark:/21198/z19c9kx1,Universidad del Aire 1950-01-29,ihc_udelaire_19500129,Masters/othermasters/DEPuniversidaddelaire/audio/ihc_udelaire_19500129.wav,open,1950-01-29,1950-01-29,Preguntas y Respuestas.|~|Part 1,00 hr. 22 min. 59 sec.,sound recording,radio programs,spa,"Universidad del Aire|~|Lliteras, Dr.",,Havana (Cuba),Circuito CMQ Radiocentro Habana,Instituto de Historia de Cuba,unknown,"http://www.ihc.cu/, webmaster@ihc.cu","Lliteras, Dr.",Cuba--politics and government--1933-1959|~|Radio programs--Cuba,International Digital Ephemera Project,https://wowza.library.ucla.edu/iiif_av_public/definst/mp4:othermasters/pairtree_root/21/19/8=/z1/gt/8d/5r/21198=z1gt8d5r/ark%2B=21198=z1gt8d5r.mp4{},https://static.library.ucla.edu/ark%3A%2F21198%2Fz1gt8d5r%2Faudiowaveform.dat,,,1379.739958,audio/x-wav,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1gt8d5r/manifest
Work,ark:/21198/z1c27ngs,ark:/21198/z19c9kx1,Universidad del Aire 1950-02-05,ihc_udelaire_19500205,Masters/othermasters/DEPuniversidaddelaire/audio/ihc_udelaire_19500205.wav,open,1950-02-05,1950-02-05,Preguntas y Respuestas.|~|Parts 1-3,00 hr. 32 min. 36 sec.,sound recording,radio programs,spa,"Universidad del Aire|~|Maso, Dr.| Sandoval, Dr.",,Havana (Cuba),Circuito CMQ Radiocentro Habana,Instituto de Historia de Cuba,unknown,"http://www.ihc.cu/, webmaster@ihc.cu","Maso, Dr.| Sandoval, Dr.",Cuba--politics and government--1933-1959|~|Radio programs--Cuba,International Digital Ephemera Project,https://wowza.library.ucla.edu/iiif_av_public/definst/mp4:othermasters/pairtree_root/21/19/8=/z1/c2/7n/gs/21198=z1c27ngs/ark%2B=21198=z1c27ngs.mp4{},https://static.library.ucla.edu/ark%3A%2F21198%2Fz1c27ngs%2Faudiowaveform.dat,,,1955.997583,audio/x-wav,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1c27ngs/manifest
Work,ark:/21198/z17d5m4b,ark:/21198/z19c9kx1,Universidad del Aire 1950-02-12,ihc_udelaire_19500212,Masters/othermasters/DEPuniversidaddelaire/audio/ihc_udelaire_19500212.wav,open,1950-02-12,1950-02-12,Preguntas y Respuestas.|~|Parts 1 and 2,00 hr. 21 min. 06 sec.,sound recording,radio programs,spa,"Universidad del Aire|~|Mañach, Jorge, Dr.|~|Masó, Calixto, Dr.|~|Saldoval, José Enrique, Dr.",,Havana (Cuba),Circuito CMQ Radiocentro Habana,Instituto de Historia de Cuba,unknown,"http://www.ihc.cu/, webmaster@ihc.cu","Mañach, Jorge, Dr.|~|Masó, Calixto, Dr.|~|Saldoval, José Enrique, Dr.",Cuba--politics and government--1933-1959|~|Radio programs--Cuba,International Digital Ephemera Project,https://wowza.library.ucla.edu/iiif_av_public/definst/mp4:othermasters/pairtree_root/21/19/8=/z1/7d/5m/4b/21198=z17d5m4b/ark%2B=21198=z17d5m4b.mp4{},https://static.library.ucla.edu/ark%3A%2F21198%2Fz17d5m4b%2Faudiowaveform.dat,,,1266.889146,audio/x-wav,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz17d5m4b/manifest
Work,ark:/21198/z13n4vdm,ark:/21198/z19c9kx1,Universidad del Aire 1950-02-19,ihc_udelaire_19500219,Masters/othermasters/DEPuniversidaddelaire/audio/ihc_udelaire_19500219.wav,open,1950-02-19,1950-02-19,Preguntas y Respuestas.|~|Parts 1 and 2,00 hr. 53 min. 33 sec.,sound recording,radio programs,spa,"Universidad del Aire|~|Companioni, Carlos Íñiguez, Dr.|~|González del Campo, Loredano, Dr.|~|Mañach, Jorge, Dr.",,Havana (Cuba),Circuito CMQ Radiocentro Habana,Instituto de Historia de Cuba,unknown,"http://www.ihc.cu/, webmaster@ihc.cu","Companioni, Carlos Íñiguez, Dr.|~|González del Campo, Loredano, Dr.|~|Mañach, Jorge, Dr.",Cuba--politics and government--1933-1959|~|Radio programs--Cuba,International Digital Ephemera Project,https://wowza.library.ucla.edu/iiif_av_public/definst/mp4:othermasters/pairtree_root/21/19/8=/z1/3n/4v/dm/21198=z13n4vdm/ark%2B=21198=z13n4vdm.mp4{},https://static.library.ucla.edu/ark%3A%2F21198%2Fz13n4vdm%2Faudiowaveform.dat,,,3213.270688,audio/x-wav,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz13n4vdm/manifest
Work,ark:/21198/z1sf5n7d,ark:/21198/z19c9kx1,Universidad del Aire 1950-02-23,ihc_udelaire_19500223,Masters/othermasters/DEPuniversidaddelaire/audio/ihc_udelaire_19500223.wav,open,1950-02-23,1950-02-23,Recuerdos Gloriosos con motivo del Centenario de la Bandera. Entrevista al Mayor General Enrique Loynaz del Castillo.|~|Parts 1-4,00 hr. 40 min. 22 sec.,sound recording,radio programs,spa,"Universidad del Aire|~|Loynaz del Castillo, Enrique, Mayor General",,Havana (Cuba),Circuito CMQ Radiocentro Habana,Instituto de Historia de Cuba,unknown,"http://www.ihc.cu/, webmaster@ihc.cu","Loynaz del Castillo, Enrique, Mayor General",Cuba--politics and government--1933-1959|~|Radio programs--Cuba,International Digital Ephemera Project,https://wowza.library.ucla.edu/iiif_av_public/definst/mp4:othermasters/pairtree_root/21/19/8=/z1/sf/5n/7d/21198=z1sf5n7d/ark%2B=21198=z1sf5n7d.mp4{},https://static.library.ucla.edu/ark%3A%2F21198%2Fz1sf5n7d%2Faudiowaveform.dat,,,2422.557528,audio/x-wav,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1sf5n7d/manifest
Work,ark:/21198/z1zw4bx9,ark:/21198/z19c9kx1,Universidad del Aire 1950-03-12,ihc_udelaire_19500312,Masters/othermasters/DEPuniversidaddelaire/audio/ihc_udelaire_19500312.wav,open,1950-03-12,1950-03-12,"Preguntas y Respuestas.|~|Parts 1-5, missing Parts 6-7 and second half of ""Preguntas y Respuestas""",00 hr. 44 min. 46 sec.,sound recording,radio programs,spa,"Universidad del Aire|~|Ichaso, Francisco, Dr.|~|Gay-Calbó, Enrique, Dr.|~|Isalgué de Massip, Sara, Dra.",,Havana (Cuba),Circuito CMQ Radiocentro Habana,Instituto de Historia de Cuba,unknown,"http://www.ihc.cu/, webmaster@ihc.cu","Ichaso, Francisco, Dr.|~|Gay-Calbó, Enrique, Dr.|~|Isalgué de Massip, Sara, Dra.",Cuba--politics and government--1933-1959|~|Radio programs--Cuba,International Digital Ephemera Project,https://wowza.library.ucla.edu/iiif_av_public/definst/mp4:othermasters/pairtree_root/21/19/8=/z1/zw/4b/x9/21198=z1zw4bx9/ark%2B=21198=z1zw4bx9.mp4{},https://static.library.ucla.edu/ark%3A%2F21198%2Fz1zw4bx9%2Faudiowaveform.dat,,,2686.295521,audio/x-wav,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1zw4bx9/manifest
Work,ark:/21198/z1np4wfs,ark:/21198/z19c9kx1,Universidad del Aire 1950-04-02,ihc_udelaire_19500402,Masters/othermasters/DEPuniversidaddelaire/audio/ihc_udelaire_19500402.wav,open,1950-04-02,1950-04-02,Dr Pánfilo Camacho en una semblanza del General Eugenio Molinet para el programa recuerdos gloriosos. Entrevista Del Dr Jorge Mañach al Dr y General Eugenio Molinet.|~|Part 1,00 hr. 08 min. 37 sec.,sound recording,radio programs,spa,"Universidad del Aire|~|Mañach, Jorge, Dr.|~|Molinet, Eugenio, General|~|Camacho, Pánfilo, Dr.",,Havana (Cuba),Circuito CMQ Radiocentro Habana,Instituto de Historia de Cuba,unknown,"http://www.ihc.cu/, webmaster@ihc.cu","Mañach, Jorge, Dr.|~|Molinet, Eugenio, General|~|Camacho, Pánfilo, Dr.",Cuba--politics and government--1933-1959|~|Radio programs--Cuba,International Digital Ephemera Project,https://wowza.library.ucla.edu/iiif_av_public/definst/mp4:othermasters/pairtree_root/21/19/8=/z1/np/4w/fs/21198=z1np4wfs/ark%2B=21198=z1np4wfs.mp4{},https://static.library.ucla.edu/ark%3A%2F21198%2Fz1np4wfs%2Faudiowaveform.dat,,,517.513438,audio/x-wav,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1np4wfs/manifest
