Object Type,Parent ARK,Item ARK,File Name,Title,volume,issue,Contents note,Date.normalized,Format.extent,Format.medium,Genre,Title-old,Language,Local identifier,Place of origin,Type.typeOfResource,Rights.copyrightStatus,Rights.servicesContact,viewingHint,Repository,Subject topic,Program,Item Sequence,Visibility,Thumbnail,Note
Work,ark:/21198/z1sk0sgp,ark:/21198/z1r308df,,1904-01-21 (no. 18),,no. 18,dup,1904-01-21,6 pages,digitized microfilm,newspapers,"1904-01-21, Diario Republicano (no. 18)",spa|~|eng,ihc_lalucha_microfilm_19040121,Havana (Cuba),text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",paged,Instituto de Historia de Cuba,Havana (Cuba)--newspapers|~|Cuba--Politics and government--newspapers|~|Cuba--newspapers,International Digital Ephemera Project,,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz12p49gx,Microfilm was digitized by Instituto de Historia de Cuba. Physical microfilm is located at Biblioteca Nacional de Cuba José Martí.
Work,ark:/21198/z1sk0sgp,ark:/21198/z1m99hqm,,1904-01-22 (no. 19),,no. 19,dup,1904-01-22,6 pages,digitized microfilm,newspapers,"1904-01-22, Diario Republicano (no. 19)",spa|~|eng,ihc_lalucha_microfilm_19040122,Havana (Cuba),text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",paged,Instituto de Historia de Cuba,Havana (Cuba)--newspapers|~|Cuba--Politics and government--newspapers|~|Cuba--newspapers,International Digital Ephemera Project,,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1ph10z6,Microfilm was digitized by Instituto de Historia de Cuba. Physical microfilm is located at Biblioteca Nacional de Cuba José Martí.
Work,ark:/21198/z1sk0sgp,ark:/21198/z1gj8s26,,1904-01-23 (no. 20),,no. 20,dup,1904-01-23,6 pages,digitized microfilm,newspapers,"1904-01-23, Diario Republicano (no. 20)",spa|~|eng,ihc_lalucha_microfilm_19040123,Havana (Cuba),text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",paged,Instituto de Historia de Cuba,Havana (Cuba)--newspapers|~|Cuba--Politics and government--newspapers|~|Cuba--newspapers,International Digital Ephemera Project,,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1968rtn,Microfilm was digitized by Instituto de Historia de Cuba. Physical microfilm is located at Biblioteca Nacional de Cuba José Martí.
Work,ark:/21198/z1sk0sgp,ark:/21198/z1bs817h,,1904-01-25 (no. 21),,no. 21,dup,1904-01-25,6 pages,digitized microfilm,newspapers,"1904-01-25, Diario Republicano (no. 21)",spa|~|eng,ihc_lalucha_microfilm_19040125,Havana (Cuba),text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",paged,Instituto de Historia de Cuba,Havana (Cuba)--newspapers|~|Cuba--Politics and government--newspapers|~|Cuba--newspapers,International Digital Ephemera Project,,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1x15g8w,Microfilm was digitized by Instituto de Historia de Cuba. Physical microfilm is located at Biblioteca Nacional de Cuba José Martí.
Work,ark:/21198/z1sk0sgp,ark:/21198/z17178gn,,1904-01-26 (no. 22),,no. 22,dup,1904-01-26,6 pages,digitized microfilm,newspapers,"1904-01-26, Diario Republicano (no. 22)",spa|~|eng,ihc_lalucha_microfilm_19040126,Havana (Cuba),text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",paged,Instituto de Historia de Cuba,Havana (Cuba)--newspapers|~|Cuba--Politics and government--newspapers|~|Cuba--newspapers,International Digital Ephemera Project,,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1hr378r,Microfilm was digitized by Instituto de Historia de Cuba. Physical microfilm is located at Biblioteca Nacional de Cuba José Martí.
Work,ark:/21198/z1sk0sgp,ark:/21198/z1386hqg,,1904-01-27 (no. 23),,no. 23,dup,1904-01-27,6 pages,digitized microfilm,newspapers,"1904-01-27, Diario Republicano (no. 23)",spa|~|eng,ihc_lalucha_microfilm_19040127,Havana (Cuba),text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",paged,Instituto de Historia de Cuba,Havana (Cuba)--newspapers|~|Cuba--Politics and government--newspapers|~|Cuba--newspapers,International Digital Ephemera Project,,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz14g0zz3,Microfilm was digitized by Instituto de Historia de Cuba. Physical microfilm is located at Biblioteca Nacional de Cuba José Martí.
Work,ark:/21198/z1sk0sgp,ark:/21198/z1zm4qqd,,1904-01-28 (no. 24),,no. 24,dup,1904-01-28,6 pages,digitized microfilm,newspapers,"1904-01-28, Diario Republicano (no. 24)",spa|~|eng,ihc_lalucha_microfilm_19040128,Havana (Cuba),text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",paged,Instituto de Historia de Cuba,Havana (Cuba)--newspapers|~|Cuba--Politics and government--newspapers|~|Cuba--newspapers,International Digital Ephemera Project,,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1r87ph4,Microfilm was digitized by Instituto de Historia de Cuba. Physical microfilm is located at Biblioteca Nacional de Cuba José Martí.
Work,ark:/21198/z1sk0sgp,ark:/21198/z1tv400g,,1904-01-29 (no. 25),,no. 25,dup,1904-01-29,6 pages,digitized microfilm,newspapers,"1904-01-29, Diario Republicano (no. 25)",spa|~|eng,ihc_lalucha_microfilm_19040129,Havana (Cuba),text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",paged,Instituto de Historia de Cuba,Havana (Cuba)--newspapers|~|Cuba--Politics and government--newspapers|~|Cuba--newspapers,International Digital Ephemera Project,,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1c05f85,Microfilm was digitized by Instituto de Historia de Cuba. Physical microfilm is located at Biblioteca Nacional de Cuba José Martí.
Work,ark:/21198/z1sk0sgp,ark:/21198/z1q3379h,,1904-01-30 (no. 26),,no. 26,dup,1904-01-30,6 pages,digitized microfilm,newspapers,"1904-01-30, Diario Republicano (no. 26)",spa|~|eng,ihc_lalucha_microfilm_19040130,Havana (Cuba),text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",paged,Instituto de Historia de Cuba,Havana (Cuba)--newspapers|~|Cuba--Politics and government--newspapers|~|Cuba--newspapers,International Digital Ephemera Project,,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1zt24r4,Microfilm was digitized by Instituto de Historia de Cuba. Physical microfilm is located at Biblioteca Nacional de Cuba José Martí.
Work,ark:/21198/z1sk0sgp,ark:/21198/z1kb2gm7,,1904-02-01 (no. 27),,no. 27,dup,1904-02-01,6 pages,digitized microfilm,newspapers,"1904-02-01, Diario Republicano (no. 27)",spa|~|eng,ihc_lalucha_microfilm_19040201,Havana (Cuba),text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",paged,Instituto de Historia de Cuba,Havana (Cuba)--newspapers|~|Cuba--Politics and government--newspapers|~|Cuba--newspapers,International Digital Ephemera Project,,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1kh9wjp,Microfilm was digitized by Instituto de Historia de Cuba. Physical microfilm is located at Biblioteca Nacional de Cuba José Martí.
Work,ark:/21198/z1sk0sgp,ark:/21198/z1fk1qwh,,1904-02-02 (no. 28),,no. 28,dup,1904-02-02,6 pages,digitized microfilm,newspapers,"1904-02-02, Diario Republicano (no. 28)",spa|~|eng,ihc_lalucha_microfilm_19040202,Havana (Cuba),text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",paged,Instituto de Historia de Cuba,Havana (Cuba)--newspapers|~|Cuba--Politics and government--newspapers|~|Cuba--newspapers,International Digital Ephemera Project,,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz16b6bsx,Microfilm was digitized by Instituto de Historia de Cuba. Physical microfilm is located at Biblioteca Nacional de Cuba José Martí.
Work,ark:/21198/z1sk0sgp,ark:/21198/z19t1027,,1904-02-03 (no. 29),,no. 29,dup,1904-02-03,6 pages,digitized microfilm,newspapers,"1904-02-03, Diario Republicano (no. 29)",spa|~|eng,ihc_lalucha_microfilm_19040203,Havana (Cuba),text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",paged,Instituto de Historia de Cuba,Havana (Cuba)--newspapers|~|Cuba--Politics and government--newspapers|~|Cuba--newspapers,International Digital Ephemera Project,,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1t24c03,Microfilm was digitized by Instituto de Historia de Cuba. Physical microfilm is located at Biblioteca Nacional de Cuba José Martí.
Work,ark:/21198/z1sk0sgp,ark:/21198/z16207c8,,1904-02-04 (no. 30),,no. 30,dup,1904-02-04,6 pages,digitized microfilm,newspapers,"1904-02-04, Diario Republicano (no. 30)",spa|~|eng,ihc_lalucha_microfilm_19040204,Havana (Cuba),text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",paged,Instituto de Historia de Cuba,Havana (Cuba)--newspapers|~|Cuba--Politics and government--newspapers|~|Cuba--newspapers,International Digital Ephemera Project,,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1dw0t5r,Microfilm was digitized by Instituto de Historia de Cuba. Physical microfilm is located at Biblioteca Nacional de Cuba José Martí.
Work,ark:/21198/z1sk0sgp,ark:/21198/z12c862q,,1904-02-05 (no. 31),,no. 31,dup,1904-02-05,6 pages,digitized microfilm,newspapers,"1904-02-05, Diario Republicano (no. 31)",spa|~|eng,ihc_lalucha_microfilm_19040205,Havana (Cuba),text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",paged,Instituto de Historia de Cuba,Havana (Cuba)--newspapers|~|Cuba--Politics and government--newspapers|~|Cuba--newspapers,International Digital Ephemera Project,,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz11k8k3g,Microfilm was digitized by Instituto de Historia de Cuba. Physical microfilm is located at Biblioteca Nacional de Cuba José Martí.
Work,ark:/21198/z1sk0sgp,ark:/21198/z1xm7pk1,,1904-02-06 (no. 32),,no. 32,dup,1904-02-06,6 pages,digitized microfilm,newspapers,"1904-02-06, Diario Republicano (no. 32)",spa|~|eng,ihc_lalucha_microfilm_19040206,Havana (Cuba),text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",paged,Instituto de Historia de Cuba,Havana (Cuba)--newspapers|~|Cuba--Politics and government--newspapers|~|Cuba--newspapers,International Digital Ephemera Project,,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1n96k1n,Microfilm was digitized by Instituto de Historia de Cuba. Physical microfilm is located at Biblioteca Nacional de Cuba José Martí.
Work,ark:/21198/z1sk0sgp,ark:/21198/z1sv6xv9,,1904-02-08 (no. 33),,no. 33,dup,1904-02-08,2 pages,digitized microfilm,newspapers,"1904-02-08, Diario Republicano (no. 33)",,ihc_lalucha_microfilm_19040208,Havana (Cuba),text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",paged,Instituto de Historia de Cuba,Havana (Cuba)--newspapers|~|Cuba--Politics and government--newspapers|~|Cuba--newspapers,International Digital Ephemera Project,,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz184319b,Microfilm was digitized by Instituto de Historia de Cuba. Physical microfilm is located at Biblioteca Nacional de Cuba José Martí.
