Object Type,Title,Item ARK,Parent ARK,File Name,Item Sequence,Visibility,Thumbnail,Contents note,Date.created,Date.normalized,Format.extent,Genre,Language,Local identifier,Place of origin,Repository,Type.typeOfResource,Rights.copyrightStatus,Rights.rightsHolderContact,viewingHint,Subject,IIIF Manifest URL
Work,1959-01-12 (vol. 02 | no. 32),ark:/21198/z1g761xf,ark:/21198/z1zg9dcq,,,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1pk33dq,small tear in center crease on pages 1-5,12 enero de 1959|~|1959-01-12,1959-01-12,24 pages,newspapers,spa,ihc_revolucion_19590112,Havana (Cuba),Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",paged,Cuba -- Politics and government -- 1959-1990|~|Cuba -- Social life and customs|~|Cuba -- Periodicals,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1g761xf/manifest
Work,1959-01-13 (vol. 02 | no. 33),ark:/21198/z1bg5981,ark:/21198/z1zg9dcq,,,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1kq0p9q,,13 enero de 1959|~|1959-01-13,1959-01-13,14 pages,newspapers,spa,ihc_revolucion_19590113,Havana (Cuba),Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",paged,Cuba -- Politics and government -- 1959-1990|~|Cuba -- Social life and customs|~|Cuba -- Periodicals,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1bg5981/manifest
Work,1959-01-14 (vol. 02 | no. 34),ark:/21198/z16q4jgd,ark:/21198/z1zg9dcq,,,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1s783hf,,14 enero de 1959|~|1959-01-14,1959-01-14,14 pages,newspapers,spa,ihc_revolucion_19590114,Havana (Cuba),Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",paged,Cuba -- Politics and government -- 1959-1990|~|Cuba -- Social life and customs|~|Cuba -- Periodicals,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz16q4jgd/manifest
Work,1959-01-15 (vol. 02 | no. 35),ark:/21198/z12z3srp,ark:/21198/z1zg9dcq,,,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1zs5hpk,,15 enero de 1959|~|1959-01-15,1959-01-15,16 pages,newspapers,spa,ihc_revolucion_19590115,Havana (Cuba),Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",paged,Cuba -- Politics and government -- 1959-1990|~|Cuba -- Social life and customs|~|Cuba -- Periodicals,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz12z3srp/manifest
Work,1959-01-16 (vol. 02 | no. 36),ark:/21198/z1z63966,ark:/21198/z1zg9dcq,,,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1wt1fg8,,16 enero de 1959|~|1959-01-16,1959-01-16,18 pages,newspapers,spa,ihc_revolucion_19590116,Havana (Cuba),Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",paged,Cuba -- Politics and government -- 1959-1990|~|Cuba -- Social life and customs|~|Cuba -- Periodicals,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1z63966/manifest
Work,1959-01-17 (vol. 02 | no. 37),ark:/21198/z1tf2jjc,ark:/21198/z1zg9dcq,,,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1kd4k36,,17 enero de 1959|~|1959-01-17,1959-01-17,18 pages,newspapers,spa,ihc_revolucion_19590117,Havana (Cuba),Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",paged,Cuba -- Politics and government -- 1959-1990|~|Cuba -- Social life and customs|~|Cuba -- Periodicals,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1tf2jjc/manifest
Work,1959-01-20 (vol. 02 | no. 39),ark:/21198/z1ps0h41,ark:/21198/z1zg9dcq,,,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz17w90dt,,20 enero de 1959|~|1959-01-20,1959-01-20,14 pages,newspapers,spa,ihc_revolucion_19590120,Havana (Cuba),Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",paged,Cuba -- Politics and government -- 1959-1990|~|Cuba -- Social life and customs|~|Cuba -- Periodicals,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1ps0h41/manifest
Work,1959-01-21 (vol. 02 | no. 40),ark:/21198/z1k09rhd,ark:/21198/z1zg9dcq,,,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1ff6dk8,,21 enero de 1959|~|1959-01-21,1959-01-21,16 pages,newspapers,spa,ihc_revolucion_19590121,Havana (Cuba),Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",paged,Cuba -- Politics and government -- 1959-1990|~|Cuba -- Social life and customs|~|Cuba -- Periodicals,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1k09rhd/manifest
Work,1959-01-23 (vol. 02 | no. 42),ark:/21198/z1f790s2,ark:/21198/z1zg9dcq,,,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1cg2bbh,,23 enero de 1959|~|1959-01-23,1959-01-23,16 pages,newspapers,spa,ihc_revolucion_19590123,Havana (Cuba),Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",paged,Cuba -- Politics and government -- 1959-1990|~|Cuba -- Social life and customs|~|Cuba -- Periodicals,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1f790s2/manifest
Work,1960-08-05 (vol. 03 | no. 512),ark:/21198/z19g882r,ark:/21198/z1zg9dcq,,,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz19k6zh4,,5 agosto de 1960|~|1960-08-05,1960-08-05,16 pages,newspapers,spa,ihc_revolucion_19600805,Havana (Cuba),Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",paged,Cuba -- Politics and government -- 1959-1990|~|Cuba -- Social life and customs|~|Cuba -- Periodicals,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz19g882r/manifest
Work,1960-09-29 (vol. 03 | no. 559),ark:/21198/z15q7h9k,ark:/21198/z1zg9dcq,,,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz17m2w6g,,29 septiembre de 1960|~|1960-09-29,1960-09-29,16 pages,newspapers,spa,ihc_revolucion_19600929,Havana (Cuba),Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",paged,Cuba -- Politics and government -- 1959-1990|~|Cuba -- Social life and customs|~|Cuba -- Periodicals,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz15q7h9k/manifest
Work,1960-09-30 (vol. 03 | no. 560),ark:/21198/z11z6rkv,ark:/21198/z1zg9dcq,,,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz15m8sx9,,30 septiembre de 1960|~|1960-09-30,1960-09-30,16 pages,newspapers,spa,ihc_revolucion_19600930,Havana (Cuba),Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",paged,Cuba -- Politics and government -- 1959-1990|~|Cuba -- Social life and customs|~|Cuba -- Periodicals,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz11z6rkv/manifest
Work,1960-11-22 (vol. 03 | no. 605),ark:/21198/z1x6684q,ark:/21198/z1zg9dcq,,,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz13r3f38,,11 noviembre de 1960|~|1960-11-22,1960-11-22,14 pages,newspapers,spa,ihc_revolucion_19601122,Havana (Cuba),Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",paged,Cuba -- Politics and government -- 1959-1990|~|Cuba -- Social life and customs|~|Cuba -- Periodicals,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1x6684q/manifest
Work,1961-06-26 (vol. 04 | no. 785),ark:/21198/z1sj46sv,ark:/21198/z1zg9dcq,,,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1990v8q,,26 junio de 1961|~|1961-06-26,1961-06-26,10 pages,newspapers,spa,ihc_revolucion_19610626,Havana (Cuba),Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",paged,Cuba -- Politics and government -- 1959-1990|~|Cuba -- Social life and customs|~|Cuba -- Periodicals,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1sj46sv/manifest
