Object Type,Title,Local identifier,Item ARK,Parent ARK,File Name,Item Sequence,Thumbnail,Visibility,AltTitle.other,collection.physical,Contents note,Date.created,Date.normalized,Description.note,Format.extent,Format.medium,Genre,Language,Name.creator,Name.subject,Note,Place of origin,Publisher.publisherName,Repository,Type.typeOfResource,Rights.copyrightStatus,Rights.rightsHolderContact,viewingHint,Name.director,Subject,IIIF Manifest URL
Work,1942-09 (vol 2 | no. 14),ihc_fundamentos_194209,ark:/21198/z1mk94vm,ark:/21198/z11r9gj5,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1k09wc8,Open,,,,septiembre de 1942|~|1942-09,1942-09,Microfilm was digitized by Instituto de Historia de Cuba. Physical microfilm is located at Biblioteca Nacional de Cuba José Martí.,78 pages,digitized microfilm,magazines (periodicals),spa,,,,Havana (Cuba),,Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",individuals,"Roca, Blas",Havana (Cuba) -- newspapers|~|Cuba -- Politics and government -- newspapers|~|Cuba -- newspapers,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1mk94vm/manifest
Work,1942-10 (vol 2 | no. 15),ihc_fundamentos_194210,ark:/21198/z1gt8d66,ark:/21198/z11r9gj5,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1d53d0f,Open,,,,octubre de 1942|~|1942-10,1942-10,Microfilm was digitized by Instituto de Historia de Cuba. Physical microfilm is located at Biblioteca Nacional de Cuba José Martí.,82 pages,digitized microfilm,magazines (periodicals),spa,,,,Havana (Cuba),,Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",individuals,"Roca, Blas",Havana (Cuba) -- newspapers|~|Cuba -- Politics and government -- newspapers|~|Cuba -- newspapers,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1gt8d66/manifest
Work,1942-11 (vol 2 | no. 16),ihc_fundamentos_194211,ark:/21198/z1c27nh7,ark:/21198/z11r9gj5,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1zs5nkw,Open,,,,noviembre de 1942|~|1942-11,1942-11,Microfilm was digitized by Instituto de Historia de Cuba. Physical microfilm is located at Biblioteca Nacional de Cuba José Martí.,62 pages,digitized microfilm,magazines (periodicals),spa,,,,Havana (Cuba),,Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",individuals,"Roca, Blas",Havana (Cuba) -- newspapers|~|Cuba -- Politics and government -- newspapers|~|Cuba -- newspapers,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1c27nh7/manifest
Work,1943-01 (vol. 03 | no. 17),ihc_fundamentos_194301,ark:/21198/z1796wqm,ark:/21198/z11r9gj5,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1tt7h1x,Open,,,,1943-01-01,1943-01,Microfilm was digitized by Instituto de Historia de Cuba. Physical microfilm is located at Biblioteca Nacional de Cuba José Martí.,68 pages,digitized microfilm,magazines (periodicals),spa,,,,Havana (Cuba),,Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",individuals,"Roca, Blas",Havana (Cuba) -- newspapers|~|Cuba -- Politics and government -- newspapers|~|Cuba -- newspapers,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1796wqm/manifest
Work,1943-02 (vol. 03 | no. 18),ihc_fundamentos_194302,ark:/21198/z13j650p,ark:/21198/z11r9gj5,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1ff6jf4,Open,,,Missing pages 72-73,1943-02-01,1943-02,Microfilm was digitized by Instituto de Historia de Cuba. Physical microfilm is located at Biblioteca Nacional de Cuba José Martí.,80 pages,digitized microfilm,magazines (periodicals),spa,,,,Havana (Cuba),,Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",individuals,"Roca, Blas",Havana (Cuba) -- newspapers|~|Cuba -- Politics and government -- newspapers|~|Cuba -- newspapers,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz13j650p/manifest
Work,1943-03 (vol. 03 | no. 19),ihc_fundamentos_194303,ark:/21198/z1zs5ngj,ark:/21198/z11r9gj5,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz18m025n,Open,,,,1943-03-01,1943-03,Microfilm was digitized by Instituto de Historia de Cuba. Physical microfilm is located at Biblioteca Nacional de Cuba José Martí.,80 pages,digitized microfilm,magazines (periodicals),spa,,,,Havana (Cuba),,Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",individuals,"Roca, Blas",Havana (Cuba) -- newspapers|~|Cuba -- Politics and government -- newspapers|~|Cuba -- newspapers,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1zs5ngj/manifest
Work,"1943-04, 1943-05 (vol. 03 | no. 20-21)",ihc_fundamentos_194304_194305,ark:/21198/z1v14wt1,ark:/21198/z11r9gj5,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz13r3jzq,Open,,,,1943-04-01,1943-04,Microfilm was digitized by Instituto de Historia de Cuba. Physical microfilm is located at Biblioteca Nacional de Cuba José Martí.,80 pages,digitized microfilm,magazines (periodicals),spa,,,,Havana (Cuba),,Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",individuals,"Roca, Blas",Havana (Cuba) -- newspapers|~|Cuba -- Politics and government -- newspapers|~|Cuba -- newspapers,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1v14wt1/manifest
Work,"1943-06, 1943-07 (vol. 03 | no. 22-23)",ihc_fundamentos_194306_194307,ark:/21198/z1qc2vf4,ark:/21198/z11r9gj5,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1xw79w8,Open,,,Missing page 86. Duplicate of pages 310-311.,1943-06-01,1943-06,Microfilm was digitized by Instituto de Historia de Cuba. Physical microfilm is located at Biblioteca Nacional de Cuba José Martí.,82 pages,digitized microfilm,magazines (periodicals),spa,,,,Havana (Cuba),,Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",individuals,"Roca, Blas",Havana (Cuba) -- newspapers|~|Cuba -- Politics and government -- newspapers|~|Cuba -- newspapers,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1qc2vf4/manifest
Work,1943-08 (vol. 03 | no. 24),ihc_fundamentos_194308,ark:/21198/z1km23t4,ark:/21198/z11r9gj5,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1n902vx,Open,,,,1943-08-01,1943-08,Microfilm was digitized by Instituto de Historia de Cuba. Physical microfilm is located at Biblioteca Nacional de Cuba José Martí.,76 pages,digitized microfilm,magazines (periodicals),spa,,,,Havana (Cuba),,Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",individuals,"Roca, Blas",Havana (Cuba) -- newspapers|~|Cuba -- Politics and government -- newspapers|~|Cuba -- newspapers,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1km23t4/manifest
Work,"1943-09, 1943-10 (vol. 03 | no. 25-26)",ihc_fundamentos_194309_194310,ark:/21198/z1fv1c2c,ark:/21198/z11r9gj5,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1qv6cnc,Open,,,,1943-09-01,1943-09,Microfilm was digitized by Instituto de Historia de Cuba. Physical microfilm is located at Biblioteca Nacional de Cuba José Martí.,88 pages,digitized microfilm,magazines (periodicals),spa,,,,Havana (Cuba),,Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",individuals,"Roca, Blas",Havana (Cuba) -- newspapers|~|Cuba -- Politics and government -- newspapers|~|Cuba -- newspapers,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1fv1c2c/manifest
Work,"1943-11, 1943-12 (vol. 03 | no. 27-28 )",ihc_fundamentos_194311_194312,ark:/21198/z1b30mbz,ark:/21198/z11r9gj5,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1225kvb,Open,,,,1943-11-01,1943-11,Microfilm was digitized by Instituto de Historia de Cuba. Physical microfilm is located at Biblioteca Nacional de Cuba José Martí.,88 pages,digitized microfilm,magazines (periodicals),spa,,,,Havana (Cuba),,Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",individuals,"Roca, Blas",Havana (Cuba) -- newspapers|~|Cuba -- Politics and government -- newspapers|~|Cuba -- newspapers,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1b30mbz/manifest
Work,1944-01 (vol. 04 | no. 29),ihc_fundamentos_194401,ark:/21198/z1699vjs,ark:/21198/z11r9gj5,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1c56bxj,Open,,,,enero de 1944|~|1944-01,1944-01,Microfilm was digitized by Instituto de Historia de Cuba. Physical microfilm is located at Biblioteca Nacional de Cuba José Martí.,81 pages,digitized microfilm,magazines (periodicals),spa,,,,Havana (Cuba),,Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",individuals,"Roca, Blas",Havana (Cuba) -- newspapers|~|Cuba -- Politics and government -- newspapers|~|Cuba -- newspapers,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1699vjs/manifest
Work,1944-02 (vol. 04 | no. 30),ihc_fundamentos_194402,ark:/21198/z12j93s0,ark:/21198/z11r9gj5,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz12j93xs,Open,,,,febrero de 1944|~|1944-02,1944-02,Microfilm was digitized by Instituto de Historia de Cuba. Physical microfilm is located at Biblioteca Nacional de Cuba José Martí.,104 pages,digitized microfilm,magazines (periodicals),spa,,,,Havana (Cuba),,Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",individuals,"Roca, Blas",Havana (Cuba) -- newspapers|~|Cuba -- Politics and government -- newspapers|~|Cuba -- newspapers,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz12j93s0/manifest
Work,1944-03 (vol. 04 | no. 31),ihc_fundamentos_194403,ark:/21198/z1xs8md2,ark:/21198/z11r9gj5,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1710sm0,Open,,,,marzo de 1944|~|1944-03,1944-03,Microfilm was digitized by Instituto de Historia de Cuba. Physical microfilm is located at Biblioteca Nacional de Cuba José Martí.,80 pages,digitized microfilm,magazines (periodicals),spa,,,,Havana (Cuba),,Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",individuals,"Roca, Blas",Havana (Cuba) -- newspapers|~|Cuba -- Politics and government -- newspapers|~|Cuba -- newspapers,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1xs8md2/manifest
Work,1944-04 (vol. 04 | no. 32),ihc_fundamentos_194404,ark:/21198/z1t46k2x,ark:/21198/z11r9gj5,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1x953fb,Open,,,,abril de 1944|~|1944-04,1944-04,Microfilm was digitized by Instituto de Historia de Cuba. Physical microfilm is located at Biblioteca Nacional de Cuba José Martí.,80 pages,digitized microfilm,magazines (periodicals),spa,,,,Havana (Cuba),,Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",individuals,"Roca, Blas",Havana (Cuba) -- newspapers|~|Cuba -- Politics and government -- newspapers|~|Cuba -- newspapers,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1t46k2x/manifest
Work,1944-05 (vol. 04 | no. 33),ihc_fundamentos_194405,ark:/21198/z1pc5td3,ark:/21198/z11r9gj5,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1mp7vdr,Open,,,,mayo de 1944|~|1944-05,1944-05,Microfilm was digitized by Instituto de Historia de Cuba. Physical microfilm is located at Biblioteca Nacional de Cuba José Martí.,89 pages,digitized microfilm,magazines (periodicals),spa,,,,Havana (Cuba),,Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",individuals,"Roca, Blas",Havana (Cuba) -- newspapers|~|Cuba -- Politics and government -- newspapers|~|Cuba -- newspapers,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1pc5td3/manifest
Work,"1944-06, 1944-07 (vol. 04 | no. 34-35)",ihc_fundamentos_194406_194407,ark:/21198/z1jm52pr,ark:/21198/z11r9gj5,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1t46k6q,Open,,,,"junio de 1944, julio de 1944|~|1944-06",1944-06,Microfilm was digitized by Instituto de Historia de Cuba. Physical microfilm is located at Biblioteca Nacional de Cuba José Martí.,81 pages,digitized microfilm,magazines (periodicals),spa,,,,Havana (Cuba),,Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",individuals,"Roca, Blas",Havana (Cuba) -- newspapers|~|Cuba -- Politics and government -- newspapers|~|Cuba -- newspapers,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1jm52pr/manifest
Work,1944-08 (vol. 04 | no. 36),ihc_fundamentos_194408,ark:/21198/z1dv49xk,ark:/21198/z11r9gj5,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1hh9b5h,Open,,,,agosto de 1944|~|1944-08,1944-08,Microfilm was digitized by Instituto de Historia de Cuba. Physical microfilm is located at Biblioteca Nacional de Cuba José Martí.,72 pages,digitized microfilm,magazines (periodicals),spa,,,,Havana (Cuba),,Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",individuals,"Roca, Blas",Havana (Cuba) -- newspapers|~|Cuba -- Politics and government -- newspapers|~|Cuba -- newspapers,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1dv49xk/manifest
Work,1944-09 (vol. 04 | no. 37),ihc_fundamentos_194409,ark:/21198/z1933k54,ark:/21198/z11r9gj5,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1qv6cpt,Open,,,,septiembre de 1944|~|1944-09,1944-09,Microfilm was digitized by Instituto de Historia de Cuba. Physical microfilm is located at Biblioteca Nacional de Cuba José Martí.,71 pages,digitized microfilm,magazines (periodicals),spa,,,,Havana (Cuba),,Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",individuals,"Roca, Blas",Havana (Cuba) -- newspapers|~|Cuba -- Politics and government -- newspapers|~|Cuba -- newspapers,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1933k54/manifest
Work,1944-10 (vol. 04 | no. 38),ihc_fundamentos_194410,ark:/21198/z15b2tdz,ark:/21198/z11r9gj5,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1322n21,Open,,,,octubre de 1944|~|1944-10,1944-10,Microfilm was digitized by Instituto de Historia de Cuba. Physical microfilm is located at Biblioteca Nacional de Cuba José Martí.,81 pages,digitized microfilm,magazines (periodicals),spa,,,,Havana (Cuba),,Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",individuals,"Roca, Blas",Havana (Cuba) -- newspapers|~|Cuba -- Politics and government -- newspapers|~|Cuba -- newspapers,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz15b2tdz/manifest
Work,1944-11 (vol. 04 | no. 39),ihc_fundamentos_194411,ark:/21198/z11k22sz,ark:/21198/z11r9gj5,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1sb6xx1,Open,,,,noviembre de 1944|~|1944-11,1944-11,Microfilm was digitized by Instituto de Historia de Cuba. Physical microfilm is located at Biblioteca Nacional de Cuba José Martí.,81 pages,digitized microfilm,magazines (periodicals),spa,,,,Havana (Cuba),,Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",individuals,"Roca, Blas",Havana (Cuba) -- newspapers|~|Cuba -- Politics and government -- newspapers|~|Cuba -- newspapers,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz11k22sz/manifest
Work,1944-12 (vol. 04 | no. 40),ihc_fundamentos_194412,ark:/21198/z1wx08pj,ark:/21198/z11r9gj5,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1gq9pzq,Open,,,Missing pages 520 - 521,diciembre de 1944|~|1944-12,1944-12,Microfilm was digitized by Instituto de Historia de Cuba. Physical microfilm is located at Biblioteca Nacional de Cuba José Martí.,79 pages,digitized microfilm,magazines (periodicals),spa,,,,Havana (Cuba),,Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",individuals,"Roca, Blas",Havana (Cuba) -- newspapers|~|Cuba -- Politics and government -- newspapers|~|Cuba -- newspapers,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1wx08pj/manifest
Work,1945-01 (vol. 05 | no. 41),ihc_fundamentos_194501,ark:/21198/z1s49j1w,ark:/21198/z11r9gj5,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz19w36p7,Open,,,,enero de 1945|~|1945-01,1945-01,Microfilm was digitized by Instituto de Historia de Cuba. Physical microfilm is located at Biblioteca Nacional de Cuba José Martí.,81 pages,digitized microfilm,magazines (periodicals),spa,,,,Havana (Cuba),,Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",individuals,"Roca, Blas",Havana (Cuba) -- newspapers|~|Cuba -- Politics and government -- newspapers|~|Cuba -- newspapers,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1s49j1w/manifest
Work,1945-02 (vol. 05 | no. 42),ihc_fundamentos_194502,ark:/21198/z1nc8s8q,ark:/21198/z11r9gj5,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1185znz,Open,,,Missing pages 154 - 155,febrero de 1945|~|1945-02,1945-02,Microfilm was digitized by Instituto de Historia de Cuba. Physical microfilm is located at Biblioteca Nacional de Cuba José Martí.,78 pages,digitized microfilm,magazines (periodicals),spa,,,,Havana (Cuba),,Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",individuals,"Roca, Blas",Havana (Cuba) -- newspapers|~|Cuba -- Politics and government -- newspapers|~|Cuba -- newspapers,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1nc8s8q/manifest
Work,1945-03 (vol. 05 | no. 43),ihc_fundamentos_194503,ark:/21198/z1hm81gg,ark:/21198/z11r9gj5,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1vd9qmz,Open,,,,marzo de 1945|~|1945-03,1945-03,Microfilm was digitized by Instituto de Historia de Cuba. Physical microfilm is located at Biblioteca Nacional de Cuba José Martí.,80 pages,digitized microfilm,magazines (periodicals),spa,,,,Havana (Cuba),,Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",individuals,"Roca, Blas",Havana (Cuba) -- newspapers|~|Cuba -- Politics and government -- newspapers|~|Cuba -- newspapers,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1hm81gg/manifest
