"Object Type","Title","Item ARK","Parent ARK","Local identifier","Visibility","File Name","Item Sequence","Thumbnail","Date.created","Date.normalized","Contents note","Description.note","Format.extent","Format.medium","Genre","Language","Name.creator","Name.subject","Note","Place of origin","Publisher.publisherName","Repository","Type.typeOfResource","Rights.copyrightStatus","Rights.rightsHolderContact","viewingHint","Subject","IIIF Manifest URL"
"Work","1880-01-19 (vol. 02 | no. 14)","ark:/21198/z1nw27jk","ark:/21198/z16t3b1r","ihc_ladiscusion_18800119","open","","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1fn3ww1","1880-01-19","1880-01-19","","Microfilm was digitized by Instituto de Historia de Cuba. Physical microfilm is located at Biblioteca Nacional de Cuba José Martí.","4 pages","digitized microfilm","newspapers","spa","","","","Havana (Cuba)","","Instituto de Historia de Cuba","text","unknown","http://www.ihc.cu/, webmaster@ihc.cu","individuals","Havana (Cuba) -- newspapers|~|Cuba -- Politics and government -- newspapers","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1nw27jk/manifest"
"Work","1880-01-20 (vol. 02 | no. 15)","ark:/21198/z1j41gt5","ark:/21198/z16t3b1r","ihc_ladiscusion_18800120","open","","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1642dfp","1880-01-20","1880-01-20","","Microfilm was digitized by Instituto de Historia de Cuba. Physical microfilm is located at Biblioteca Nacional de Cuba José Martí.","4 pages","digitized microfilm","newspapers","spa","","","","Havana (Cuba)","","Instituto de Historia de Cuba","text","unknown","http://www.ihc.cu/, webmaster@ihc.cu","individuals","Havana (Cuba) -- newspapers|~|Cuba -- Politics and government -- newspapers","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1j41gt5/manifest"
"Work","1880-01-21 (vol. 02 | no. 16)","ark:/21198/z1dc0r66","ark:/21198/z16t3b1r","ihc_ladiscusion_18800121","open","","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1xp9vnf","1880-01-21","1880-01-21","","Microfilm was digitized by Instituto de Historia de Cuba. Physical microfilm is located at Biblioteca Nacional de Cuba José Martí.","4 pages","digitized microfilm","newspapers","spa","","","","Havana (Cuba)","","Instituto de Historia de Cuba","text","unknown","http://www.ihc.cu/, webmaster@ihc.cu","individuals","Havana (Cuba) -- newspapers|~|Cuba -- Politics and government -- newspapers","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1dc0r66/manifest"
"Work","1880-01-22 (vol. 02 | no. 17)","ark:/21198/z18p8pvs","ark:/21198/z16t3b1r","ihc_ladiscusion_18800122","open","","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1p58c63","1880-01-22","1880-01-22","","Microfilm was digitized by Instituto de Historia de Cuba. Physical microfilm is located at Biblioteca Nacional de Cuba José Martí.","4 pages","digitized microfilm","newspapers","spa","","","","Havana (Cuba)","","Instituto de Historia de Cuba","text","unknown","http://www.ihc.cu/, webmaster@ihc.cu","individuals","Havana (Cuba) -- newspapers|~|Cuba -- Politics and government -- newspapers","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz18p8pvs/manifest"
"Work","1880-01-23 (vol. 02 | no. 18)","ark:/21198/z14x7z5x","ark:/21198/z16t3b1r","ihc_ladiscusion_18800123","open","","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1dn6vrn","1880-01-23","1880-01-23","","Microfilm was digitized by Instituto de Historia de Cuba. Physical microfilm is located at Biblioteca Nacional de Cuba José Martí.","4 pages","digitized microfilm","newspapers","spa","","","","Havana (Cuba)","","Instituto de Historia de Cuba","text","unknown","http://www.ihc.cu/, webmaster@ihc.cu","individuals","Havana (Cuba) -- newspapers|~|Cuba -- Politics and government -- newspapers","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz14x7z5x/manifest"
"Work","1880-01-24 (vol. 02 | no. 19)","ark:/21198/z11576fw","ark:/21198/z16t3b1r","ihc_ladiscusion_18800124","open","","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1545cbr","1880-01-24","1880-01-24","","Microfilm was digitized by Instituto de Historia de Cuba. Physical microfilm is located at Biblioteca Nacional de Cuba José Martí.","4 pages","digitized microfilm","newspapers","spa","","","","Havana (Cuba)","","Instituto de Historia de Cuba","text","unknown","http://www.ihc.cu/, webmaster@ihc.cu","individuals","Havana (Cuba) -- newspapers|~|Cuba -- Politics and government -- newspapers","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz11576fw/manifest"
"Work","1880-01-26 (vol. 02 | no. 20)","ark:/21198/z1wd6pxr","ark:/21198/z16t3b1r","ihc_ladiscusion_18800126","open","","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1wq2tj2","1880-01-26","1880-01-26","","Microfilm was digitized by Instituto de Historia de Cuba. Physical microfilm is located at Biblioteca Nacional de Cuba José Martí.","4 pages","digitized microfilm","newspapers","spa","","","","Havana (Cuba)","","Instituto de Historia de Cuba","text","unknown","http://www.ihc.cu/, webmaster@ihc.cu","individuals","Havana (Cuba) -- newspapers|~|Cuba -- Politics and government -- newspapers","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1wd6pxr/manifest"
"Work","1880-01-27 (vol. 02 | no. 21)","ark:/21198/z1rn5z50","ark:/21198/z16t3b1r","ihc_ladiscusion_18800127","open","","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1n61b3q","1880-01-27","1880-01-27","","Microfilm was digitized by Instituto de Historia de Cuba. Physical microfilm is located at Biblioteca Nacional de Cuba José Martí.","4 pages","digitized microfilm","newspapers","spa","","","","Havana (Cuba)","","Instituto de Historia de Cuba","text","unknown","http://www.ihc.cu/, webmaster@ihc.cu","individuals","Havana (Cuba) -- newspapers|~|Cuba -- Politics and government -- newspapers","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1rn5z50/manifest"
"Work","1880-01-28 (vol. 02 | no. 22)","ark:/21198/z1mw56fn","ark:/21198/z16t3b1r","ihc_ladiscusion_18800128","open","","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1cn9tnq","1880-01-28","1880-01-28","","Microfilm was digitized by Instituto de Historia de Cuba. Physical microfilm is located at Biblioteca Nacional de Cuba José Martí.","4 pages","digitized microfilm","newspapers","spa","","","","Havana (Cuba)","","Instituto de Historia de Cuba","text","unknown","http://www.ihc.cu/, webmaster@ihc.cu","individuals","Havana (Cuba) -- newspapers|~|Cuba -- Politics and government -- newspapers","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1mw56fn/manifest"
"Work","1880-01-29 (vol. 02 | no. 23)","ark:/21198/z1h44ftk","ark:/21198/z16t3b1r","ihc_ladiscusion_18800129","open","","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz14771mp","1880-01-29","1880-01-29","","Microfilm was digitized by Instituto de Historia de Cuba. Physical microfilm is located at Biblioteca Nacional de Cuba José Martí.","4 pages","digitized microfilm","newspapers","spa","","","","Havana (Cuba)","","Instituto de Historia de Cuba","text","unknown","http://www.ihc.cu/, webmaster@ihc.cu","individuals","Havana (Cuba) -- newspapers|~|Cuba -- Politics and government -- newspapers","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1h44ftk/manifest"
"Work","1880-01-30 (vol. 02 | no. 24)","ark:/21198/z1cg2dd7","ark:/21198/z16t3b1r","ihc_ladiscusion_18800130","open","","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1vq5sbs","1880-01-30","1880-01-30","","Microfilm was digitized by Instituto de Historia de Cuba. Physical microfilm is located at Biblioteca Nacional de Cuba José Martí.","4 pages","digitized microfilm","newspapers","spa","","","","Havana (Cuba)","","Instituto de Historia de Cuba","text","unknown","http://www.ihc.cu/, webmaster@ihc.cu","individuals","Havana (Cuba) -- newspapers|~|Cuba -- Politics and government -- newspapers","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1cg2dd7/manifest"
"Work","1880-01-31 (vol. 02 | no. 25)","ark:/21198/z17q1nsv","ark:/21198/z16t3b1r","ihc_ladiscusion_18800131","open","","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1m6490s","1880-01-31","1880-01-31","","Microfilm was digitized by Instituto de Historia de Cuba. Physical microfilm is located at Biblioteca Nacional de Cuba José Martí.","4 pages","digitized microfilm","newspapers","spa","","","","Havana (Cuba)","","Instituto de Historia de Cuba","text","unknown","http://www.ihc.cu/, webmaster@ihc.cu","individuals","Havana (Cuba) -- newspapers|~|Cuba -- Politics and government -- newspapers","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz17q1nsv/manifest"
"Work","1880-02-02 (vol. 02 | no. 26)","ark:/21198/z13z0x13","ark:/21198/z16t3b1r","ihc_ladiscusion_18800202","open","","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1bp2sjb","1880-02-02","1880-02-02","","Microfilm was digitized by Instituto de Historia de Cuba. Physical microfilm is located at Biblioteca Nacional de Cuba José Martí.","4 pages","digitized microfilm","newspapers","spa","","","","Havana (Cuba)","","Instituto de Historia de Cuba","text","unknown","http://www.ihc.cu/, webmaster@ihc.cu","individuals","Havana (Cuba) -- newspapers|~|Cuba -- Politics and government -- newspapers","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz13z0x13/manifest"
"Work","1880-02-03 (vol. 02 | no. 27)","ark:/21198/z1060592","ark:/21198/z16t3b1r","ihc_ladiscusion_18800203","open","","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz13800fd","1880-02-03","1880-02-03","","Microfilm was digitized by Instituto de Historia de Cuba. Physical microfilm is located at Biblioteca Nacional de Cuba José Martí.","4 pages","digitized microfilm","newspapers","spa","","","","Havana (Cuba)","","Instituto de Historia de Cuba","text","unknown","http://www.ihc.cu/, webmaster@ihc.cu","individuals","Havana (Cuba) -- newspapers|~|Cuba -- Politics and government -- newspapers","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1060592/manifest"
"Work","1880-02-04 (vol. 02 | no. 28)","ark:/21198/z1vd9nrx","ark:/21198/z16t3b1r","ihc_ladiscusion_18800204","open","","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1tq8r7v","1880-02-04","1880-02-04","","Microfilm was digitized by Instituto de Historia de Cuba. Physical microfilm is located at Biblioteca Nacional de Cuba José Martí.","2 pages","digitized microfilm","newspapers","spa","","","","Havana (Cuba)","","Instituto de Historia de Cuba","text","unknown","http://www.ihc.cu/, webmaster@ihc.cu","individuals","Havana (Cuba) -- newspapers|~|Cuba -- Politics and government -- newspapers","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1vd9nrx/manifest"
"Work","1880-02-05 (vol. 02 | no. 29)","ark:/21198/z1qn8x3h","ark:/21198/z16t3b1r","ihc_ladiscusion_18800205","open","","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1pz80hh","1880-02-05","1880-02-05","","Microfilm was digitized by Instituto de Historia de Cuba. Physical microfilm is located at Biblioteca Nacional de Cuba José Martí.","4 pages","digitized microfilm","newspapers","spa","","","","Havana (Cuba)","","Instituto de Historia de Cuba","text","unknown","http://www.ihc.cu/, webmaster@ihc.cu","individuals","Havana (Cuba) -- newspapers|~|Cuba -- Politics and government -- newspapers","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1qn8x3h/manifest"
"Work","1880-02-06 (vol. 02 | no. 30)","ark:/21198/z1kw85dm","ark:/21198/z16t3b1r","ihc_ladiscusion_18800206","open","","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1ff6h2s","1880-02-06","1880-02-06","","Microfilm was digitized by Instituto de Historia de Cuba. Physical microfilm is located at Biblioteca Nacional de Cuba José Martí.","4 pages","digitized microfilm","newspapers","spa","","","","Havana (Cuba)","","Instituto de Historia de Cuba","text","unknown","http://www.ihc.cu/, webmaster@ihc.cu","individuals","Havana (Cuba) -- newspapers|~|Cuba -- Politics and government -- newspapers","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1kw85dm/manifest"
"Work","1880-02-07 (vol. 02 | no. 31)","ark:/21198/z1g76411","ark:/21198/z16t3b1r","ihc_ladiscusion_18800207","open","","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1613q2t","1880-02-07","1880-02-07","","Microfilm was digitized by Instituto de Historia de Cuba. Physical microfilm is located at Biblioteca Nacional de Cuba José Martí.","4 pages","digitized microfilm","newspapers","spa","","","","Havana (Cuba)","","Instituto de Historia de Cuba","text","unknown","http://www.ihc.cu/, webmaster@ihc.cu","individuals","Havana (Cuba) -- newspapers|~|Cuba -- Politics and government -- newspapers","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1g76411/manifest"
"Work","1880-02-09 (vol. 02 | no. 32)","ark:/21198/z1bg5cc6","ark:/21198/z16t3b1r","ihc_ladiscusion_18800209","open","","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1xh2fvs","1880-02-09","1880-02-09","","Microfilm was digitized by Instituto de Historia de Cuba. Physical microfilm is located at Biblioteca Nacional de Cuba José Martí.","4 pages","digitized microfilm","newspapers","spa","","","","Havana (Cuba)","","Instituto de Historia de Cuba","text","unknown","http://www.ihc.cu/, webmaster@ihc.cu","individuals","Havana (Cuba) -- newspapers|~|Cuba -- Politics and government -- newspapers","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1bg5cc6/manifest"
"Work","1880-02-10 (vol. 02 | no. 33)","ark:/21198/z16q4mkk","ark:/21198/z16t3b1r","ihc_ladiscusion_18800210","open","","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1p00zcm","1880-02-10","1880-02-10","","Microfilm was digitized by Instituto de Historia de Cuba. Physical microfilm is located at Biblioteca Nacional de Cuba José Martí.","4 pages","digitized microfilm","newspapers","spa","","","","Havana (Cuba)","","Instituto de Historia de Cuba","text","unknown","http://www.ihc.cu/, webmaster@ihc.cu","individuals","Havana (Cuba) -- newspapers|~|Cuba -- Politics and government -- newspapers","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz16q4mkk/manifest"
"Work","1880-02-11 (vol. 02 | no. 34)","ark:/21198/z12z3vvv","ark:/21198/z16t3b1r","ihc_ladiscusion_18800211","open","","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1dj85c5","1880-02-11","1880-02-11","","Microfilm was digitized by Instituto de Historia de Cuba. Physical microfilm is located at Biblioteca Nacional de Cuba José Martí.","4 pages","digitized microfilm","newspapers","spa","","","","Havana (Cuba)","","Instituto de Historia de Cuba","text","unknown","http://www.ihc.cu/, webmaster@ihc.cu","individuals","Havana (Cuba) -- newspapers|~|Cuba -- Politics and government -- newspapers","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz12z3vvv/manifest"
"Work","1880-02-12 (vol. 02 | no. 35)","ark:/21198/z1z63c9c","ark:/21198/z16t3b1r","ihc_ladiscusion_18800212","open","","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1516nwk","1880-02-12","1880-02-12","","Microfilm was digitized by Instituto de Historia de Cuba. Physical microfilm is located at Biblioteca Nacional de Cuba José Martí.","4 pages","digitized microfilm","newspapers","spa","","","","Havana (Cuba)","","Instituto de Historia de Cuba","text","unknown","http://www.ihc.cu/, webmaster@ihc.cu","individuals","Havana (Cuba) -- newspapers|~|Cuba -- Politics and government -- newspapers","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1z63c9c/manifest"
"Work","1880-02-13 (vol. 02 | no. 36)","ark:/21198/z1tf2mnj","ark:/21198/z16t3b1r","ihc_ladiscusion_18800213","open","","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1wh5dqd","1880-02-13","1880-02-13","","Microfilm was digitized by Instituto de Historia de Cuba. Physical microfilm is located at Biblioteca Nacional de Cuba José Martí.","4 pages","digitized microfilm","newspapers","spa","","","","Havana (Cuba)","","Instituto de Historia de Cuba","text","unknown","http://www.ihc.cu/, webmaster@ihc.cu","individuals","Havana (Cuba) -- newspapers|~|Cuba -- Politics and government -- newspapers","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1tf2mnj/manifest"
"Work","1880-02-14 (vol. 02 | no. 37)","ark:/21198/z1pp1w1k","ark:/21198/z16t3b1r","ihc_ladiscusion_18800214","open","","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1n03x8p","1880-02-14","1880-02-14","","Microfilm was digitized by Instituto de Historia de Cuba. Physical microfilm is located at Biblioteca Nacional de Cuba José Martí.","2 pages","digitized microfilm","newspapers","spa","","","","Havana (Cuba)","","Instituto de Historia de Cuba","text","unknown","http://www.ihc.cu/, webmaster@ihc.cu","individuals","Havana (Cuba) -- newspapers|~|Cuba -- Politics and government -- newspapers","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1pp1w1k/manifest"
"Work","1880-02-16 (vol. 02 | no. 38)","ark:/21198/z1k09tmk","ark:/21198/z16t3b1r","ihc_ladiscusion_18800216","open","","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1hb1vxt","1880-02-16","1880-02-16","","Microfilm was digitized by Instituto de Historia de Cuba. Physical microfilm is located at Biblioteca Nacional de Cuba José Martí.","4 pages","digitized microfilm","newspapers","spa","","","","Havana (Cuba)","","Instituto de Historia de Cuba","text","unknown","http://www.ihc.cu/, webmaster@ihc.cu","individuals","Havana (Cuba) -- newspapers|~|Cuba -- Politics and government -- newspapers","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1k09tmk/manifest"
"Work","1880-02-17 (vol. 02 | no. 39)","ark:/21198/z1f792xp","ark:/21198/z16t3b1r","ihc_ladiscusion_18800217","open","","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz17t0cd8","1880-02-17","1880-02-17","","Microfilm was digitized by Instituto de Historia de Cuba. Physical microfilm is located at Biblioteca Nacional de Cuba José Martí.","4 pages","digitized microfilm","newspapers","spa","","","","Havana (Cuba)","","Instituto de Historia de Cuba","text","unknown","http://www.ihc.cu/, webmaster@ihc.cu","individuals","Havana (Cuba) -- newspapers|~|Cuba -- Politics and government -- newspapers","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1f792xp/manifest"
"Work","1880-02-18 (vol. 02 | no. 40)","ark:/21198/z19g8b6c","ark:/21198/z16t3b1r","ihc_ladiscusion_18800218","open","","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1088w0f","1880-02-18","1880-02-18","","Microfilm was digitized by Instituto de Historia de Cuba. Physical microfilm is located at Biblioteca Nacional de Cuba José Martí.","4 pages","digitized microfilm","newspapers","spa","","","","Havana (Cuba)","","Instituto de Historia de Cuba","text","unknown","http://www.ihc.cu/, webmaster@ihc.cu","individuals","Havana (Cuba) -- newspapers|~|Cuba -- Politics and government -- newspapers","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz19g8b6c/manifest"
"Work","1880-02-19 (vol. 02 | no. 41)","ark:/21198/z15q7kf6","ark:/21198/z16t3b1r","ihc_ladiscusion_18800219","open","","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1qr7mv9","1880-02-19","1880-02-19","","Microfilm was digitized by Instituto de Historia de Cuba. Physical microfilm is located at Biblioteca Nacional de Cuba José Martí.","4 pages","digitized microfilm","newspapers","spa","","","","Havana (Cuba)","","Instituto de Historia de Cuba","text","unknown","http://www.ihc.cu/, webmaster@ihc.cu","individuals","Havana (Cuba) -- newspapers|~|Cuba -- Politics and government -- newspapers","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz15q7kf6/manifest"
"Work","1880-02-20 (vol. 02 | no. 42)","ark:/21198/z11z6tqg","ark:/21198/z16t3b1r","ihc_ladiscusion_18800220","open","","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1gb4tsf","1880-02-20","1880-02-20","","Microfilm was digitized by Instituto de Historia de Cuba. Physical microfilm is located at Biblioteca Nacional de Cuba José Martí.","4 pages","digitized microfilm","newspapers","spa","","","","Havana (Cuba)","","Instituto de Historia de Cuba","text","unknown","http://www.ihc.cu/, webmaster@ihc.cu","individuals","Havana (Cuba) -- newspapers|~|Cuba -- Politics and government -- newspapers","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz11z6tqg/manifest"
