Object Type,Parent ARK,Item ARK,Title,Language,Type.typeOfResource,Genre,Place of origin,Repository,Rights.copyrightStatus,Rights.publicationStatus,Rights.servicesContact,Program,Visibility,viewingHint,Item Sequence
Work,ark:/21198/z1v79htf,ark:/21198/z1wj3h35,"El Fígaro, 1908",spa,text,newspapers (periodicals),Havana (Cuba),Biblioteca Nacional de Cuba José Martí,copyrighted,published,"http://www.bnjm.cu, portal@bnjm.cu",International Digital Ephemera Project,open,paged,23
Work,ark:/21198/z1v79htf,ark:/21198/z1rs2r9j,"El Fígaro, 1909",spa,text,newspapers (periodicals),Havana (Cuba),Biblioteca Nacional de Cuba José Martí,copyrighted,published,"http://www.bnjm.cu, portal@bnjm.cu",International Digital Ephemera Project,open,paged,24
Work,ark:/21198/z1v79htf,ark:/21198/z1n120mz,"El Fígaro, 1910",spa,text,newspapers (periodicals),Havana (Cuba),Biblioteca Nacional de Cuba José Martí,copyrighted,published,"http://www.bnjm.cu, portal@bnjm.cu",International Digital Ephemera Project,open,paged,25
Work,ark:/21198/z1v79htf,ark:/21198/z1h817w7,"El Fígaro, 1912",spa,text,newspapers (periodicals),Havana (Cuba),Biblioteca Nacional de Cuba José Martí,copyrighted,published,"http://www.bnjm.cu, portal@bnjm.cu",International Digital Ephemera Project,open,paged,26
Work,ark:/21198/z1v79htf,ark:/21198/z1ck96hs,"El Fígaro, 1913",spa,text,newspapers (periodicals),Havana (Cuba),Biblioteca Nacional de Cuba José Martí,copyrighted,published,"http://www.bnjm.cu, portal@bnjm.cu",International Digital Ephemera Project,open,paged,27
Work,ark:/21198/z1v79htf,ark:/21198/z17t8fth,"El Fígaro, 1914",spa,text,newspapers (periodicals),Havana (Cuba),Biblioteca Nacional de Cuba José Martí,copyrighted,published,"http://www.bnjm.cu, portal@bnjm.cu",International Digital Ephemera Project,open,paged,28
Work,ark:/21198/z1v79htf,ark:/21198/z1427q4z,"El Fígaro, 1915",spa,text,newspapers (periodicals),Havana (Cuba),Biblioteca Nacional de Cuba José Martí,copyrighted,published,"http://www.bnjm.cu, portal@bnjm.cu",International Digital Ephemera Project,open,paged,29
Work,ark:/21198/z1v79htf,ark:/21198/z1096zd7,"El Fígaro, 1918",spa,text,newspapers (periodicals),Havana (Cuba),Biblioteca Nacional de Cuba José Martí,copyrighted,published,"http://www.bnjm.cu, portal@bnjm.cu",International Digital Ephemera Project,open,paged,30
Work,ark:/21198/z1v79htf,ark:/21198/z1vj6fzc,"El Fígaro, 1919",spa,text,newspapers (periodicals),Havana (Cuba),Biblioteca Nacional de Cuba José Martí,copyrighted,published,"http://www.bnjm.cu, portal@bnjm.cu",International Digital Ephemera Project,open,paged,31
Work,ark:/21198/z1v79htf,ark:/21198/z1qs5q72,"El Fígaro, 1920",spa,text,newspapers (periodicals),Havana (Cuba),Biblioteca Nacional de Cuba José Martí,copyrighted,published,"http://www.bnjm.cu, portal@bnjm.cu",International Digital Ephemera Project,open,paged,32
Work,ark:/21198/z1v79htf,ark:/21198/z1m14zhn,"El Fígaro, 1921",spa,text,newspapers (periodicals),Havana (Cuba),Biblioteca Nacional de Cuba José Martí,copyrighted,published,"http://www.bnjm.cu, portal@bnjm.cu",International Digital Ephemera Project,open,paged,33
Work,ark:/21198/z1v79htf,ark:/21198/z1gc2x6n,"El Fígaro, 1922",spa,text,newspapers (periodicals),Havana (Cuba),Biblioteca Nacional de Cuba José Martí,copyrighted,published,"http://www.bnjm.cu, portal@bnjm.cu",International Digital Ephemera Project,open,paged,34
Work,ark:/21198/z1v79htf,ark:/21198/z1bm25g9,"El Fígaro, 1923",spa,text,newspapers (periodicals),Havana (Cuba),Biblioteca Nacional de Cuba José Martí,copyrighted,published,"http://www.bnjm.cu, portal@bnjm.cu",International Digital Ephemera Project,open,paged,35
Work,ark:/21198/z1v79htf,ark:/21198/z16v1ds1,"El Fígaro, 1924",spa,text,newspapers (periodicals),Havana (Cuba),Biblioteca Nacional de Cuba José Martí,copyrighted,published,"http://www.bnjm.cu, portal@bnjm.cu",International Digital Ephemera Project,open,paged,36
Work,ark:/21198/z1v79htf,ark:/21198/z1330p04,"El Fígaro, 1925",spa,text,newspapers (periodicals),Havana (Cuba),Biblioteca Nacional de Cuba José Martí,copyrighted,published,"http://www.bnjm.cu, portal@bnjm.cu",International Digital Ephemera Project,open,paged,37
Work,ark:/21198/z1v79htf,ark:/21198/z1zb05ht,"El Fígaro, 1926",spa,text,newspapers (periodicals),Havana (Cuba),Biblioteca Nacional de Cuba José Martí,copyrighted,published,"http://www.bnjm.cu, portal@bnjm.cu",International Digital Ephemera Project,open,paged,38
Work,ark:/21198/z1v79htf,ark:/21198/z1tj9dr3,"El Fígaro, 1927",spa,text,newspapers (periodicals),Havana (Cuba),Biblioteca Nacional de Cuba José Martí,copyrighted,published,"http://www.bnjm.cu, portal@bnjm.cu",International Digital Ephemera Project,open,paged,39
Work,ark:/21198/z1v79htf,ark:/21198/z1ps8p27,"El Fígaro, 1928",spa,text,newspapers (periodicals),Havana (Cuba),Biblioteca Nacional de Cuba José Martí,copyrighted,published,"http://www.bnjm.cu, portal@bnjm.cu",International Digital Ephemera Project,open,paged,40
Work,ark:/21198/z1v79htf,ark:/21198/z1k46mr4,"El Fígaro, 1929",spa,text,newspapers (periodicals),Havana (Cuba),Biblioteca Nacional de Cuba José Martí,copyrighted,published,"http://www.bnjm.cu, portal@bnjm.cu",International Digital Ephemera Project,open,paged,41
Work,ark:/21198/z1v79htf,ark:/21198/z1fc5w1t,"El Fígaro, 1931",spa,text,newspapers (periodicals),Havana (Cuba),Biblioteca Nacional de Cuba José Martí,copyrighted,published,"http://www.bnjm.cu, portal@bnjm.cu",International Digital Ephemera Project,open,paged,42
Work,ark:/21198/z1v79htf,ark:/21198/z19m549g,"El Fígaro, 1943",spa,text,newspapers (periodicals),Havana (Cuba),Biblioteca Nacional de Cuba José Martí,copyrighted,published,"http://www.bnjm.cu, portal@bnjm.cu",International Digital Ephemera Project,open,paged,43
Work,ark:/21198/z1v79htf,ark:/21198/z15v4ckr,"El Fígaro, 1944",spa,text,newspapers (periodicals),Havana (Cuba),Biblioteca Nacional de Cuba José Martí,copyrighted,published,"http://www.bnjm.cu, portal@bnjm.cu",International Digital Ephemera Project,open,paged,44
Work,ark:/21198/z1v79htf,ark:/21198/z1233mtw,"El Fígaro, 1945",spa,text,newspapers (periodicals),Havana (Cuba),Biblioteca Nacional de Cuba José Martí,copyrighted,published,"http://www.bnjm.cu, portal@bnjm.cu",International Digital Ephemera Project,open,paged,45
Work,ark:/21198/z1v79htf,ark:/21198/z1d57xdj,"El Fígaro, Indices",spa,text,newspapers (periodicals),Havana (Cuba),Biblioteca Nacional de Cuba José Martí,copyrighted,published,"http://www.bnjm.cu, portal@bnjm.cu",International Digital Ephemera Project,open,paged,46
