Object Type,Title,Item ARK,Parent ARK,File Name,Item Sequence,Thumbnail,Visibility,AltTitle.other,Contents note,Date.created,Date.normalized,Format.extent,Format.medium,Genre,Language,Local identifier,Name.creator,Name.subject,Note,Place of origin,Publisher.publisherName,Repository,Type.typeOfResource,Rights.copyrightStatus,Rights.rightsHolderContact,viewingHint,Name.director,Subject,IIIF Manifest URL
Work,1935-02-07 (año 01 | num. 16),ark:/21198/z1qn8x1m,ark:/21198/z1xd3r0n,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz16x21c5,open,,,7 de febrero de 1935|~|1935-02-07,1935-02-07,8 pages,,newspapers,spa,ihc_palabra_19350207,,,,Havana (Cuba),,Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",paged,"Marinello, Juan, 1898-1977",Cuba -- Politics and government -- 1933-1959|~|Cuba -- Social life and customs|~|Cuba -- Periodicals,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1qn8x1m/manifest
Work,1935-02-08 (año 01 | num. 17),ark:/21198/z1kw85bq,ark:/21198/z1xd3r0n,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz15x506b,open,,,8 de febrero de 1935|~|1935-02-08,1935-02-08,8 pages,,newspapers,spa,ihc_palabra_19350208,,,,Havana (Cuba),,Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",paged,"Marinello, Juan, 1898-1977",Cuba -- Politics and government -- 1933-1959|~|Cuba -- Social life and customs|~|Cuba -- Periodicals,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1kw85bq/manifest
Work,1935-02-09 (año 01 | num. 18),ark:/21198/z1g47dnr,ark:/21198/z1xd3r0n,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz14x7z4g,open,,,9 de febrero de 1935|~|1935-02-09,1935-02-09,8 pages,,newspapers,spa,ihc_palabra_19350209,,,,Havana (Cuba),,Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",paged,"Marinello, Juan, 1898-1977",Cuba -- Politics and government -- 1933-1959|~|Cuba -- Social life and customs|~|Cuba -- Periodicals,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1g47dnr/manifest
Work,1935-02-10 (año 01 | num. 19),ark:/21198/z1bg5c99,ark:/21198/z1xd3r0n,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1419mc8,open,,,10 de febrero de 1935|~|1935-02-10,1935-02-10,12 pages,,newspapers,spa,ihc_palabra_19350210,,,,Havana (Cuba),,Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",paged,"Marinello, Juan, 1898-1977",Cuba -- Politics and government -- 1933-1959|~|Cuba -- Social life and customs|~|Cuba -- Periodicals,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1bg5c99/manifest
Work,1935-02-12 (año 01 | num. 20),ark:/21198/z16q4mj4,ark:/21198/z1xd3r0n,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1k09tk4,open,,,12 de febrero de 1935|~|1935-02-12,1935-02-12,8 pages,,newspapers,spa,ihc_palabra_19350212,,,,Havana (Cuba),,Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",paged,"Marinello, Juan, 1898-1977",Cuba -- Politics and government -- 1933-1959|~|Cuba -- Social life and customs|~|Cuba -- Periodicals,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz16q4mj4/manifest
Work,1935-02-13 (año 01 | num. 21),ark:/21198/z12z3vtd,ark:/21198/z1xd3r0n,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1j12sjn,open,,,13 de febrero de 1935|~|1935-02-13,1935-02-13,8 pages,,newspapers,spa,ihc_palabra_19350213,,,,Havana (Cuba),,Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",paged,"Marinello, Juan, 1898-1977",Cuba -- Politics and government -- 1933-1959|~|Cuba -- Social life and customs|~|Cuba -- Periodicals,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz12z3vtd/manifest
Work,1935-02-14 (año 01 | num. 22),ark:/21198/z1z63c8x,ark:/21198/z1xd3r0n,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1h44fs4,open,,,14 de febrero de 1935|~|1935-02-14,1935-02-14,8 pages,,newspapers,spa,ihc_palabra_19350214,,,,Havana (Cuba),,Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",paged,"Marinello, Juan, 1898-1977",Cuba -- Politics and government -- 1933-1959|~|Cuba -- Social life and customs|~|Cuba -- Periodicals,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1z63c8x/manifest
Work,1935-02-15 (año 01 | num. 23),ark:/21198/z1tf2mkn,ark:/21198/z1xd3r0n,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1g47dp6,open,,,15 de febrero de 1935|~|1935-02-15,1935-02-15,8 pages,,newspapers,spa,ihc_palabra_19350215,,,,Havana (Cuba),,Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",paged,"Marinello, Juan, 1898-1977",Cuba -- Politics and government -- 1933-1959|~|Cuba -- Social life and customs|~|Cuba -- Periodicals,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1tf2mkn/manifest
Work,1935-02-16 (año 01 | num. 24),ark:/21198/z1pp1vz8,ark:/21198/z1xd3r0n,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1f50chx,open,,,16 de febrero de 1935|~|1935-02-16,1935-02-16,8 pages,,newspapers,spa,ihc_palabra_19350216,,,,Havana (Cuba),,Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",paged,"Marinello, Juan, 1898-1977",Cuba -- Politics and government -- 1933-1959|~|Cuba -- Social life and customs|~|Cuba -- Periodicals,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1pp1vz8/manifest
Work,1935-02-17 (año 01 | num. 25),ark:/21198/z1jx147b,ark:/21198/z1xd3r0n,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1d53b7r,open,,,17 de febrero de 1935|~|1935-02-17,1935-02-17,12 pages,,newspapers,spa,ihc_palabra_19350217,,,,Havana (Cuba),,Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",paged,"Marinello, Juan, 1898-1977",Cuba -- Politics and government -- 1933-1959|~|Cuba -- Social life and customs|~|Cuba -- Periodicals,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1jx147b/manifest
Work,1935-02-18 (año 01 | num. 26),ark:/21198/z1f792vs,ark:/21198/z1xd3r0n,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1v727z8,open,,,18 de febrero de 1935|~|1935-02-18,1935-02-18,8 pages,,newspapers,spa,ihc_palabra_19350218,,,,Havana (Cuba),,Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",paged,"Marinello, Juan, 1898-1977",Cuba -- Politics and government -- 1933-1959|~|Cuba -- Social life and customs|~|Cuba -- Periodicals,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1f792vs/manifest
Work,1935-02-21 (año 01 | num. 28),ark:/21198/z19g8b5x,ark:/21198/z1xd3r0n,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1t756sf,open,,,21 de febrero de 1935|~|1935-02-21,1935-02-21,8 pages,,newspapers,spa,ihc_palabra_19350221,,,,Havana (Cuba),,Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",paged,"Marinello, Juan, 1898-1977",Cuba -- Politics and government -- 1933-1959|~|Cuba -- Social life and customs|~|Cuba -- Periodicals,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz19g8b5x/manifest
Work,1935-02-22 (año 01 | num. 29),ark:/21198/z15q7kdr,ark:/21198/z1xd3r0n,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1s785mm,open,,,22 de febrero de 1935|~|1935-02-22,1935-02-22,8 pages,,newspapers,spa,ihc_palabra_19350222,,,,Havana (Cuba),,Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",paged,"Marinello, Juan, 1898-1977",Cuba -- Politics and government -- 1933-1959|~|Cuba -- Social life and customs|~|Cuba -- Periodicals,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz15q7kdr/manifest
Work,1935-02-23 (año 01 | num. 30),ark:/21198/z11z6tp1,ark:/21198/z1xd3r0n,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1r814jp,open,,,23 de febrero de 1935|~|1935-02-23,1935-02-23,8 pages,,newspapers,spa,ihc_palabra_19350223,,,,Havana (Cuba),,Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",paged,"Marinello, Juan, 1898-1977",Cuba -- Politics and government -- 1933-1959|~|Cuba -- Social life and customs|~|Cuba -- Periodicals,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz11z6tp1/manifest
Work,1935-02-24 (año 01 | num. 31),ark:/21198/z1x66b6f,ark:/21198/z1xd3r0n,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1qc2sss,open,,Printed as año 01 num. 30.,24 de febrero de 1935|~|1935-02-24,1935-02-24,12 pages,,newspapers,spa,ihc_palabra_19350224,,,,Havana (Cuba),,Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",paged,"Marinello, Juan, 1898-1977",Cuba -- Politics and government -- 1933-1959|~|Cuba -- Social life and customs|~|Cuba -- Periodicals,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1x66b6f/manifest
Work,1935-02-26 (año 01 | num. 32),ark:/21198/z1sf5kh5,ark:/21198/z1xd3r0n,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz15b2rrm,open,,,26 de febrero de 1935|~|1935-02-26,1935-02-26,8 pages,,newspapers,spa,ihc_palabra_19350226,,,,Havana (Cuba),,Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",paged,"Marinello, Juan, 1898-1977",Cuba -- Politics and government -- 1933-1959|~|Cuba -- Social life and customs|~|Cuba -- Periodicals,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1sf5kh5/manifest
Work,1935-02-27 (año 01 | num. 33),ark:/21198/z1ns3j65,ark:/21198/z1xd3r0n,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz14b5qnp,open,,,27 de febrero de 1935|~|1935-02-27,1935-02-27,8 pages,,newspapers,spa,ihc_palabra_19350227,,,,Havana (Cuba),,Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",paged,"Marinello, Juan, 1898-1977|~|Domínguez Navarro, Ofelia, 1894-1976",Cuba -- Politics and government -- 1933-1959|~|Cuba -- Social life and customs|~|Cuba -- Periodicals,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1ns3j65/manifest
Work,1935-02-28 (año 01 | num. 34),ark:/21198/z1j12sh6,ark:/21198/z1xd3r0n,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz13f7cz2,open,,,28 de febrero de 1935|~|1935-02-28,1935-02-28,8 pages,,newspapers,spa,ihc_palabra_19350228,,,,Havana (Cuba),,Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",paged,"Marinello, Juan, 1898-1977|~|Domínguez Navarro, Ofelia, 1894-1976",Cuba -- Politics and government -- 1933-1959|~|Cuba -- Social life and customs|~|Cuba -- Periodicals,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1j12sh6/manifest
Work,1935-03-01 (año 01 | num. 35),ark:/21198/z1d821sv,ark:/21198/z1xd3r0n,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz12g0bt7,open,,,1 de marzo de 1935|~|1935-03-01,1935-03-01,8 pages,,newspapers,spa,ihc_palabra_19350301,,,,Havana (Cuba),,Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",paged,"Marinello, Juan, 1898-1977|~|Domínguez Navarro, Ofelia, 1894-1976",Cuba -- Politics and government -- 1933-1959|~|Cuba -- Social life and customs|~|Cuba -- Periodicals,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1d821sv/manifest
Work,1935-03-02 (año 01 | num. 36),ark:/21198/z18h1913,ark:/21198/z1xd3r0n,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz11g39mz,open,,,2 de marzo de 1935|~|1935-03-02,1935-03-02,8 pages,,newspapers,spa,ihc_palabra_19350302,,,,Havana (Cuba),,Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",paged,"Marinello, Juan, 1898-1977|~|Domínguez Navarro, Ofelia, 1894-1976",Cuba -- Politics and government -- 1933-1959|~|Cuba -- Social life and customs|~|Cuba -- Periodicals,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz18h1913/manifest
Work,1935-03-03 (año 01 | num. 37),ark:/21198/z14r0j7g,ark:/21198/z1xd3r0n,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz10g68gk,open,,,3 de marzo de 1935|~|1935-03-03,1935-03-03,12 pages,,newspapers,spa,ihc_palabra_19350303,,,,Havana (Cuba),,Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",paged,"Marinello, Juan, 1898-1977|~|Domínguez Navarro, Ofelia, 1894-1976",Cuba -- Politics and government -- 1933-1959|~|Cuba -- Social life and customs|~|Cuba -- Periodicals,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz14r0j7g/manifest
Work,1935-03-05 (año 01 | num. 38),ark:/21198/z10z9sk3,ark:/21198/z1xd3r0n,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1fj566h,open,,,5 de marzo de 1935|~|1935-03-05,1935-03-05,8 pages,,newspapers,spa,ihc_palabra_19350305,,,,Havana (Cuba),,Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",paged,"Marinello, Juan, 1898-1977|~|Domínguez Navarro, Ofelia, 1894-1976",Cuba -- Politics and government -- 1933-1959|~|Cuba -- Social life and customs|~|Cuba -- Periodicals,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz10z9sk3/manifest
Work,1935-03-06 (año 01 | num. 39),ark:/21198/z1w6993h,ark:/21198/z1xd3r0n,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1dj851p,open,,,6 de marzo de 1935|~|1935-03-06,1935-03-06,8 pages,,newspapers,spa,ihc_palabra_19350306,,,,Havana (Cuba),,Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",paged,"Marinello, Juan, 1898-1977|~|Domínguez Navarro, Ofelia, 1894-1976",Cuba -- Politics and government -- 1933-1959|~|Cuba -- Social life and customs|~|Cuba -- Periodicals,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1w6993h/manifest
Work,1935-03-07 (año 01 | num. 40),ark:/21198/z1rj77rn,ark:/21198/z1xd3r0n,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1ck13s3,open,,,7 de marzo de 1935|~|1935-03-07,1935-03-07,8 pages,,newspapers,spa,ihc_palabra_19350307,,,,Havana (Cuba),,Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",paged,"Marinello, Juan, 1898-1977|~|Domínguez Navarro, Ofelia, 1894-1976",Cuba -- Politics and government -- 1933-1959|~|Cuba -- Social life and customs|~|Cuba -- Periodicals,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1rj77rn/manifest
