Object Type,Title,Item ARK,Parent ARK,File Name,Item Sequence,Visibility,Date.created,Date.normalized,Thumbnail,Format.extent,Genre,Language,Local identifier,Place of origin,Repository,Type.typeOfResource,Rights.copyrightStatus,Rights.rightsHolderContact,viewingHint,Name.director,Subject,IIIF Manifest URL
Work,1901-05-12 (vol. 01 | no. 14),ark:/21198/z1tf2k69,ark:/21198/z1cc3nm5,,,open,12 de Mayo de 1901|~|1901-05-12,1901-05-12,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz19w33dd,4 pages,newspapers,spa,ihc_tipografo_19010512,Havana (Cuba),Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",paged,"Peña y Delgado, Juan|~|Avalòs, Ramon",Cuba -- Politics and government -- 1899-1902|~|Cuba -- Social life and customs|~|Cuba -- Periodicals,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1tf2k69/manifest
Work,1901-05-19 (vol. 01 | no. 15),ark:/21198/z1pp1tkx,ark:/21198/z1cc3nm5,,,open,19 de Mayo de 1901|~|1901-05-19,1901-05-19,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1sv0bn9,4 pages,newspapers,spa,ihc_tipografo_19010519,Havana (Cuba),Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",paged,"Peña y Delgado, Juan|~|Avalòs, Ramon",Cuba -- Politics and government -- 1899-1902|~|Cuba -- Social life and customs|~|Cuba -- Periodicals,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1pp1tkx/manifest
Work,1901-05-26 (vol. 01 | no. 16),ark:/21198/z1k09s4w,ark:/21198/z1cc3nm5,,,open,26 de Mayo de 1901|~|1901-05-26,1901-05-26,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz18w6281,4 pages,newspapers,spa,ihc_tipografo_19010526,Havana (Cuba),Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",paged,"Peña y Delgado, Juan|~|Avalòs, Ramon",Cuba -- Politics and government -- 1899-1902|~|Cuba -- Social life and customs|~|Cuba -- Periodicals,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1k09s4w/manifest
Work,1901-06-02 (vol. 01 | no. 17),ark:/21198/z1f791f0,ark:/21198/z1cc3nm5,,,open,2 de Junio de 1901|~|1901-06-02,1901-06-02,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1rv39nq,4 pages,newspapers,spa,ihc_tipografo_19010602,Havana (Cuba),Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",paged,"Peña y Delgado, Juan|~|Avalòs, Ramon",Cuba -- Politics and government -- 1899-1902|~|Cuba -- Social life and customs|~|Cuba -- Periodicals,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1f791f0/manifest
Work,1901-06-16 (vol. 01 | no. 19),ark:/21198/z19g88rq,ark:/21198/z1cc3nm5,,,open,16 de Junio de 1901|~|1901-06-16,1901-06-16,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz17w9136,4 pages,newspapers,spa,ihc_tipografo_19010616,Havana (Cuba),Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",paged,"Peña y Delgado, Juan|~|Avalòs, Ramon",Cuba -- Politics and government -- 1899-1902|~|Cuba -- Social life and customs|~|Cuba -- Periodicals,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz19g88rq/manifest
Work,1901-06-23 (vol. 01 | no. 20),ark:/21198/z15q7j0z,ark:/21198/z1cc3nm5,,,open,23 de Junio de 1901|~|1901-06-23,1901-06-23,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1qz4ztx,4 pages,newspapers,spa,ihc_tipografo_19010623,Havana (Cuba),Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",paged,"Peña y Delgado, Juan|~|Avalòs, Ramon",Cuba -- Politics and government -- 1899-1902|~|Cuba -- Social life and customs|~|Cuba -- Periodicals,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz15q7j0z/manifest
Work,1901-06-30 (vol. 01 | no. 21),ark:/21198/z11z6s87,ark:/21198/z1cc3nm5,,,open,30 de Junio de 1901|~|1901-06-30,1901-06-30,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz16x1zx4,4 pages,newspapers,spa,ihc_tipografo_19010630,Havana (Cuba),Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",paged,"Peña y Delgado, Juan|~|Avalòs, Ramon",Cuba -- Politics and government -- 1899-1902|~|Cuba -- Social life and customs|~|Cuba -- Periodicals,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz11z6s87/manifest
Work,1901-07-14 (vol. 01 | no. 23),ark:/21198/z1x668s7,ark:/21198/z1cc3nm5,,,open,14 de Julio de 1901 |~|1901-07-14,1901-07-14,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1pz7xrf,4 pages,newspapers,spa,ihc_tipografo_19010714,Havana (Cuba),Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",paged,"Peña y Delgado, Juan|~|Avalòs, Ramon",Cuba -- Politics and government -- 1899-1902|~|Cuba -- Social life and customs|~|Cuba -- Periodicals,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1x668s7/manifest
Work,1901-07-21 (vol. 01 | no. 24),ark:/21198/z1sf5j3c,ark:/21198/z1cc3nm5,,,open,21 de Julio de 1901|~|1901-07-21,1901-07-21,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz15x4xsr,4 pages,newspapers,spa,ihc_tipografo_19010721,Havana (Cuba),Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",paged,"Peña y Delgado, Juan|~|Avalòs, Ramon",Cuba -- Politics and government -- 1899-1902|~|Cuba -- Social life and customs|~|Cuba -- Periodicals,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1sf5j3c/manifest
Work,1901-07-28 (vol. 01 | no. 25),ark:/21198/z1ns3gsz,ark:/21198/z1cc3nm5,,,open,28 de Julio de 1901|~|1901-07-28,1901-07-28,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1p00wkg,5 pages,newspapers,spa,ihc_tipografo_19010728,Havana (Cuba),Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",paged,"Peña y Delgado, Juan|~|Avalòs, Ramon",Cuba -- Politics and government -- 1899-1902|~|Cuba -- Social life and customs|~|Cuba -- Periodicals,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1ns3gsz/manifest
Work,1901-08-04 (vol. 01 | no. 26 ),ark:/21198/z1j12r3d,ark:/21198/z1cc3nm5,,,open,4 de Agosto de 1901|~|1901-08-04,1901-08-04,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1185vdk,4 pages,newspapers,spa,ihc_tipografo_19010804,Havana (Cuba),Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",paged,"Peña y Delgado, Juan|~|Avalòs, Ramon",Cuba -- Politics and government -- 1899-1902|~|Cuba -- Social life and customs|~|Cuba -- Periodicals,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1j12r3d/manifest
Work,1901-08-11 (vol. 01 | no. 27),ark:/21198/z1d820bm,ark:/21198/z1cc3nm5,,,open,11 de Agosto de 1901|~|1901-08-11,1901-08-11,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1h733nv,4 pages,newspapers,spa,ihc_tipografo_19010811,Havana (Cuba),Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",paged,"Peña y Delgado, Juan|~|Avalòs, Ramon",Cuba -- Politics and government -- 1899-1902|~|Cuba -- Social life and customs|~|Cuba -- Periodicals,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1d820bm/manifest
Work,1901-08-18 (vol. 01 | no. 28),ark:/21198/z18h17kf,ark:/21198/z1cc3nm5,,,open,18 de Agosto de 1901|~|1901-08-18,1901-08-18,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1088t7r,4 pages,newspapers,spa,ihc_tipografo_19010818,Havana (Cuba),Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",paged,"Peña y Delgado, Juan|~|Avalòs, Ramon",Cuba -- Politics and government -- 1899-1902|~|Cuba -- Social life and customs|~|Cuba -- Periodicals,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz18h17kf/manifest
Work,1901-08-25 (vol. 01 | no. 29),ark:/21198/z14r0gst,ark:/21198/z1cc3nm5,,,open,25 de Agosto de 1901|~|1901-08-25,1901-08-25,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1g762mt,4 pages,newspapers,spa,ihc_tipografo_19010825,Havana (Cuba),Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",paged,"Peña y Delgado, Juan|~|Avalòs, Ramon",Cuba -- Politics and government -- 1899-1902|~|Cuba -- Social life and customs|~|Cuba -- Periodicals,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz14r0gst/manifest
Work,1901-09-01 (vol. 01 | no. 30),ark:/21198/z10z9r4v,ark:/21198/z1cc3nm5,,,open,1 de Septiembre de 1901|~|1901-09-01,1901-09-01,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1z921bb,4 pages,newspapers,spa,ihc_tipografo_19010901,Havana (Cuba),Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",paged,"Peña y Delgado, Juan|~|Avalòs, Ramon",Cuba -- Politics and government -- 1899-1902|~|Cuba -- Social life and customs|~|Cuba -- Periodicals,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz10z9r4v/manifest
Work,1901-09-08 (vol. 01 | no. 31),ark:/21198/z1w697nv,ark:/21198/z1cc3nm5,,,open,8 de Septiembre de 1901|~|1901-09-08,1901-09-08,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1f791gf,4 pages,newspapers,spa,ihc_tipografo_19010908,Havana (Cuba),Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",paged,"Peña y Delgado, Juan|~|Avalòs, Ramon",Cuba -- Politics and government -- 1899-1902|~|Cuba -- Social life and customs|~|Cuba -- Periodicals,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1w697nv/manifest
Work,1901-09-15 (vol. 01 | no. 32),ark:/21198/z1rj76c9,ark:/21198/z1cc3nm5,,,open,15 de Septiembre de 1901|~|1901-09-15,1901-09-15,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1x9506z,4 pages,newspapers,spa,ihc_tipografo_19010915,Havana (Cuba),Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",paged,"Peña y Delgado, Juan|~|Avalòs, Ramon",Cuba -- Politics and government -- 1899-1902|~|Cuba -- Social life and customs|~|Cuba -- Periodicals,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1rj76c9/manifest
Work,1901-09-29 (vol. 01 | no. 34),ark:/21198/z1ms6fqg,ark:/21198/z1cc3nm5,,,open,29 de Septiembre de 1901|~|1901-09-29,1901-09-29,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1dc0ps0,4 pages,newspapers,spa,ihc_tipografo_19010929,Havana (Cuba),Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",paged,"Peña y Delgado, Juan|~|Avalòs, Ramon",Cuba -- Politics and government -- 1899-1902|~|Cuba -- Social life and customs|~|Cuba -- Periodicals,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1ms6fqg/manifest
Work,1901-10-06 (vol. 01 | no. 35),ark:/21198/z1h15px5,ark:/21198/z1cc3nm5,,,open,6 de Octubre de 1901|~|1901-10-06,1901-10-06,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1w97z26,4 pages,newspapers,spa,ihc_tipografo_19011006,Havana (Cuba),Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",paged,"Peña y Delgado, Juan|~|Avalòs, Ramon",Cuba -- Politics and government -- 1899-1902|~|Cuba -- Social life and customs|~|Cuba -- Periodicals,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1h15px5/manifest
Work,1901-10-13 (vol. 01 | no. 36),ark:/21198/z1c84z6v,ark:/21198/z1cc3nm5,,,open,13 de Octubre de 1901|~|1901-10-13,1901-10-13,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1cc3nnm,14 pages,newspapers,spa,ihc_tipografo_19011013,Havana (Cuba),Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",paged,"Peña y Delgado, Juan|~|Avalòs, Ramon",Cuba -- Politics and government -- 1899-1902|~|Cuba -- Social life and customs|~|Cuba -- Periodicals,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1c84z6v/manifest
Work,1901-10-20 (vol. 01 | no. 37),ark:/21198/z17h46dm,ark:/21198/z1cc3nm5,,,open,20 de Octubre de 1901|~|1901-10-20,1901-10-20,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1jx12vk,5 pages,newspapers,spa,ihc_tipografo_19011020,Havana (Cuba),Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",paged,"Peña y Delgado, Juan|~|Avalòs, Ramon",Cuba -- Politics and government -- 1899-1902|~|Cuba -- Social life and customs|~|Cuba -- Periodicals,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz17h46dm/manifest
Work,1901-10-27 (vol. 01 | no. 38),ark:/21198/z13r3fqb,ark:/21198/z1cc3nm5,,,open,27 de Octubre de 1901|~|1901-10-27,1901-10-27,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1x668tp,4 pages,newspapers,spa,ihc_tipografo_19011027,Havana (Cuba),Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",paged,"Peña y Delgado, Juan|~|Avalòs, Ramon",Cuba -- Politics and government -- 1899-1902|~|Cuba -- Social life and customs|~|Cuba -- Periodicals,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz13r3fqb/manifest
Work,1901-11-03 (vol. 01 | no. 39),ark:/21198/z1002q1s,ark:/21198/z1cc3nm5,,,open,3 de Noviembre de 1901|~|1901-11-03,1901-11-03,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1d538s3,4 pages,newspapers,spa,ihc_tipografo_19011103,Havana (Cuba),Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",paged,"Peña y Delgado, Juan|~|Avalòs, Ramon",Cuba -- Politics and government -- 1899-1902|~|Cuba -- Social life and customs|~|Cuba -- Periodicals,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1002q1s/manifest
Work,1901-11-10 (vol. 01 | no. 40),ark:/21198/z1vb0wzd,ark:/21198/z1cc3nm5,,,open,10 de Noviembre de 1901|~|1901-11-10,1901-11-10,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1w697p9,4 pages,newspapers,spa,ihc_tipografo_19011110,Havana (Cuba),Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",paged,"Peña y Delgado, Juan|~|Avalòs, Ramon",Cuba -- Politics and government -- 1899-1902|~|Cuba -- Social life and customs|~|Cuba -- Periodicals,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1vb0wzd/manifest
Work,1901-11-17 (vol. 01 | no. 41),ark:/21198/z1qk0561,ark:/21198/z1cc3nm5,,,open,17 de Noviembre de 1901|~|1901-11-17,1901-11-17,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1c567p5,4 pages,newspapers,spa,ihc_tipografo_19011117,Havana (Cuba),Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",paged,"Peña y Delgado, Juan|~|Avalòs, Ramon",Cuba -- Politics and government -- 1899-1902|~|Cuba -- Social life and customs|~|Cuba -- Periodicals,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1qk0561/manifest
Work,1901-11-24 (vol. 01 | no. 42),ark:/21198/z1ks9dgr,ark:/21198/z1cc3nm5,,,open,24 de Noviembre de 1901|~|1901-11-24,1901-11-24,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1v726jg,4 pages,newspapers,spa,ihc_tipografo_19011124,Havana (Cuba),Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",paged,"Peña y Delgado, Juan|~|Avalòs, Ramon",Cuba -- Politics and government -- 1899-1902|~|Cuba -- Social life and customs|~|Cuba -- Periodicals,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1ks9dgr/manifest
Work,1901-12-01 (vol. 01 | no. 43),ark:/21198/z1g18npf,ark:/21198/z1cc3nm5,,,open,1 de Diciembre de 1901|~|1901-12-01,1901-12-01,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1b596pk,4 pages,newspapers,spa,ihc_tipografo_19011201,Havana (Cuba),Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",paged,"Peña y Delgado, Juan|~|Avalòs, Ramon",Cuba -- Politics and government -- 1899-1902|~|Cuba -- Social life and customs|~|Cuba -- Periodicals,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1g18npf/manifest
Work,1902-12-08 (vol. 01 | no. 44),ark:/21198/z1b87wzq,ark:/21198/z1cc3nm5,,,open,8 de Diciembre de 1901|~|1901-12-08,1901-12-08,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1t755b6,4 pages,newspapers,spa,ihc_tipografo_19011208,Havana (Cuba),Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",paged,"Peña y Delgado, Juan|~|Avalòs, Ramon",Cuba -- Politics and government -- 1899-1902|~|Cuba -- Social life and customs|~|Cuba -- Periodicals,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1b87wzq/manifest
Work,1901-12-15 (vol. 01 | no. 45),ark:/21198/z16h7587,ark:/21198/z1cc3nm5,,,open,15 de Diciembre de 1901|~|1901-12-15,1901-12-15,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1990vws,4 pages,newspapers,spa,ihc_tipografo_19011215,Havana (Cuba),Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",paged,"Peña y Delgado, Juan|~|Avalòs, Ramon",Cuba -- Politics and government -- 1899-1902|~|Cuba -- Social life and customs|~|Cuba -- Periodicals,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz16h7587/manifest
Work,1901-12-22 (vol. 01 | no. 46),ark:/21198/z12r6dkz,ark:/21198/z1cc3nm5,,,open,22 de Diciembre de 1901|~|1901-12-22,1901-12-22,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1s7845c,4 pages,newspapers,spa,ihc_tipografo_19011222,Havana (Cuba),Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",paged,"Peña y Delgado, Juan|~|Avalòs, Ramon",Cuba -- Politics and government -- 1899-1902|~|Cuba -- Social life and customs|~|Cuba -- Periodicals,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz12r6dkz/manifest
Work,1901-12-27 (vol. 01 | no. 47),ark:/21198/z1z34mjr,ark:/21198/z1cc3nm5,,,open,27 de Diciembre de 1901|~|1901-12-27,1901-12-27,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1893tvr,4 pages,newspapers,spa,ihc_tipografo_19011227,Havana (Cuba),Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",paged,"Peña y Delgado, Juan|~|Avalòs, Ramon",Cuba -- Politics and government -- 1899-1902|~|Cuba -- Social life and customs|~|Cuba -- Periodicals,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1z34mjr/manifest
