Object Type,IIIF Object Type,Title,AltTitle.other,Published in IDEP,Item ARK,Parent ARK,IIIF Parent ARK,File Name,folder name,Visibility,Item Sequence,Date.created,Date.normalized,Format.extent,Genre,Language,Local identifier,Place of origin,Repository,Type.typeOfResource,Rights.copyrightStatus,Rights.rightsHolderContact,viewingHint,Director,Editor,Creator,Producer,Creator.headofinformation,Creator.administrator,Creator.proprietor,Contributor,Description.note,Publisher.publisherName,Format.medium,Subject topic,Thumbnail,Opac url,Program,File_Name,IIIF Manifest URL
Work,,Dialéctica,Dialéctica. Revista Continental de Teoría y Estudios Marxistas,yes,ark:/21198/z1d81f1k,ark:/21198/z1fb75c1,,,ihc_dialectica,open,,1942-1947,1942/1947,,journal,spa,,Havana (Cuba),,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",paged,,"Rodriguez, Carlos Rafael",,,,,,,,"Editorial Páginas, S.A.",,Havana (Cuba) -- newspapers|~|Cuba -- Politics and government -- newspapers,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1jt1t0f,,International Digital Ephemera Project,dialectica-collection.csv,https://iiif.library.ucla.edu/collections/ark%3A%2F21198%2Fz1d81f1k
Work,,La Discusión (1880-1882),,yes,ark:/21198/z16t3b1r,ark:/21198/z1fb75c1,,,"ihc_ladiscusion, discusion",open,,1880-1882,1880/1882,,newspapers,spa,,Havana (Cuba),Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",paged,,"Sterling, Adolfo Marquez",,,,,,,Microfilm was digitized by Instituto de Historia de Cuba. Physical microfilm is located at Biblioteca Nacional de Cuba José Martí.,,digitized microfilm,Havana (Cuba) -- newspapers|~|Cuba -- Politics and government -- newspapers,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz11k21gh,,International Digital Ephemera Project,discusion-collection.csv,https://iiif.library.ucla.edu/collections/ark%3A%2F21198%2Fz16t3b1r
Work,,La Discusión (1889-1905),,yes,ark:/21198/z1f54zmt,ark:/21198/z1fb75c1,,,"ihc_ladiscusion, discusion2",open,,1889-1905,1889/1905,,newspapers,spa,,Havana (Cuba),Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",paged,,"Coronado, Manuel|~|Primelles, Arturo|~|Aparicio, Alfredo M.",,,,,,,Microfilm was digitized by Instituto de Historia de Cuba. Physical microfilm is located at Biblioteca Nacional de Cuba José Martí.,,digitized microfilm,Havana (Cuba) -- newspapers|~|Cuba -- Politics and government -- newspapers,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1bg5cxc,,International Digital Ephemera Project,discusion2-collection.csv,https://iiif.library.ucla.edu/collections/ark%3A%2F21198%2Fz1f54zmt
Work,,El Fortín,,yes,ark:/21198/z1d816kv,ark:/21198/z1fb75c1,,,ihc_elfortin,open,,1941,1941,,newspapers,spa,,Buenos Aires (Argentina),"University of California, Los Angeles. Library. Department of Special Collections",text,unknown,"UCLA Library Special Collections, A1713 Charles E. Young Research Library, Box 951575, Los Angeles, CA 90095-1575. Email: spec-coll@library.ucla.edu. Phone: (310) 825-2566",paged,,,,,,,,,,,,Argentina -- Politics and government -- 1910-1943 -- Periodicals,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1bv9bvc,,International Digital Ephemera Project,elfortin-collection.csv,https://iiif.library.ucla.edu/collections/ark%3A%2F21198%2Fz1d816kv
Work,,El Mudo,,yes,ark:/21198/z15b2qw0,ark:/21198/z1fb75c1,,,ihc_elmudo,open,,1882,1882,,newspapers,spa,,Havana (Cuba),Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",paged,,"Sterling, Adolfo Marquez",,,,,,,Microfilm was digitized by Instituto de Historia de Cuba. Physical microfilm is located at Biblioteca Nacional de Cuba José Martí.,,digitized microfilm,Havana (Cuba) -- newspapers|~|Cuba -- Politics and government -- newspapers|~|Cuba -- newspapers,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1kw84g3,,International Digital Ephemera Project,elmudo-collection.csv,https://iiif.library.ucla.edu/collections/ark%3A%2F21198%2Fz15b2qw0
Work,,El Socialista (1908-1912),,,ark:/21198/z1xd3m57,ark:/21198/z1fb75c1,,,ihc_elsocialista,,,1908-1912,1908/1912,,newspapers,spa,,Havana (Cuba),Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",paged,,"Acebal, Antonio|~|Escapa, Jeronimo|~|Villaret, Miguel|~|Barreiro, Alejandro",,,,,,,,,,Cuba -- Politics and government -- 1906-1909|Cuba -- Social life and customs|~|Cuba -- Periodicals,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1xw74gt,,International Digital Ephemera Project,elsocialista-collection.csv,https://iiif.library.ucla.edu/collections/ark%3A%2F21198%2Fz1xd3m57
Work,,El Socialista (1923),,,ark:/21198/z19d46wg,ark:/21198/z1fb75c1,,,ihc_elsocialista,,,1923,1923,,newspapers,spa,,Havana (Cuba),Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",paged,,,,,,,,,,,,Cuba -- Politics and government -- 1909-1933|~|Cuba -- Social life and customs|~|Cuba -- Periodicals,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1zg9bx2,,International Digital Ephemera Project,elsocialista-collection.csv,https://iiif.library.ucla.edu/collections/ark%3A%2F21198%2Fz19d46wg
Work,,El Socialista (1933-1934),,,ark:/21198/z15n3g55,ark:/21198/z1fb75c1,,,ihc_elsocialista,,,1933-1934,1933/1934,,newspapers,spa,,Banes (Cuba),Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",paged,,,,,,,,,,,,Cuba -- Politics and government -- 1933-1959|~|Cuba -- Social life and customs|~|Cuba -- Periodicals,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1dj81dz,,International Digital Ephemera Project,elsocialista-collection.csv,https://iiif.library.ucla.edu/collections/ark%3A%2F21198%2Fz15n3g55
Work,,Fundamentos,,yes,ark:/21198/z11r9gj5,ark:/21198/z1fb75c1,,,ihc_fundamentos,open,,1941-1961,1941/1961,,magazines (periodicals),spa,,Havana (Cuba),Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",paged,,"Roca, Blas",,,,,,,Microfilm was digitized by Instituto de Historia de Cuba. Physical microfilm is located at Biblioteca Nacional de Cuba José Martí.,,digitized microfilm,Havana (Cuba) -- newspapers|~|Cuba -- Politics and government -- newspapers|~|Cuba -- newspapers,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1g18rvx,,International Digital Ephemera Project,fundamentos-collection.csv,https://iiif.library.ucla.edu/collections/ark%3A%2F21198%2Fz11r9gj5
Work,,Ideas Libres,,yes,ark:/21198/z1bv9hsj,ark:/21198/z1fb75c1,,,ihc_ideaslibres,open,,1929-07-20/1929-08-05,1929-07-20/1929-08-05,,newspapers,spa,,Havana (Cuba),Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",paged,,"Bretau, Francisco",Union de Obreros y Empleados de la Compañía Cubana de Electricidad,,,"Estevez, Pedro",,,,,,Havana (Cuba) -- Social life and customs,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1zk7hvh,,International Digital Ephemera Project,ideaslibres-collection.csv,https://iiif.library.ucla.edu/collections/ark%3A%2F21198%2Fz1bv9hsj
Work,,Kwong Wah Po,,yes,ark:/21198/z1f787wx,ark:/21198/z1fb75c1,,,catc_kwongwahpo,open,,1974-2011,1974/2011,,newspapers,chi|~|spa,,Havana (Cuba),Casa de Artes y Tradiciones Chinas,text,unknown,"mantonia@patrimonio.ohc.cu, barriochino@patrimonio.ohc.cu",paged,,,,,,,,,,,,Chinese -- Cuba|~|Chinese newspapers -- Cuba,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1m63j3n,,International Digital Ephemera Project,kwongwahpo-collection.csv,https://iiif.library.ucla.edu/collections/ark%3A%2F21198%2Fz1f787wx
Work,,La Libertad,,yes,ark:/21198/z16716hr,ark:/21198/z1fb75c1,,,ihc_libertad,open,,1882-08,1882-08,,newspapers,spa,,Havana (Cuba),Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",paged,,"Sterling, Adolfo Marquez",,,,,,,Microfilm was digitized by Instituto de Historia de Cuba. Physical microfilm is located at Biblioteca Nacional de Cuba José Martí.,,digitized microfilm,Havana (Cuba) -- newspapers|~|Cuba -- Politics and government -- newspapers|~|Cuba -- newspapers,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1904x3q,,International Digital Ephemera Project,libertad-collection.csv,https://iiif.library.ucla.edu/collections/ark%3A%2F21198%2Fz16716hr
Work,Collection,La Lucha,,yes,ark:/21198/z16t3w4q,ark:/21198/z1fb75c1,,,,open,,1886-1931,1886/1931,,newspapers,spa|~|eng,,Havana (Cuba),Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",multi-part,,,,,,,,,,,,Havana (Cuba) -- newspapers|~|Cuba -- Politics and government -- newspapers|~|Cuba -- newspapers,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz13234dp%2FSuPGMNuqb,,International Digital Ephemera Project,lalucha-collection.csv,https://iiif.library.ucla.edu/collections/ark%3A%2F21198%2Fz16t3w4q
Work,Collection,Magazine de La Lucha,,yes,ark:/21198/z1hm79fz,ark:/21198/z1fb75c1,,,ihc_laluchamag,open,,1924-1926,1924/1926,,almanacs,spa,,Havana (Cuba),Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",multi-part,,,,,,,,,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz10k49m2,,International Digital Ephemera Project,magazinelalucha-collection.csv,https://iiif.library.ucla.edu/collections/ark%3A%2F21198%2Fz1hm79fz
Work,,Mañana,,no,ark:/21198/z15q7qm3,ark:/21198/z1fb75c1,,,ihc_manana,open,,1934-04,1934-04,,newspapers,spa,,Havana (Cuba),Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",paged,,"Córdoba, Ramón E. ",,,,,,,,,,Cuba -- Politics and government -- 1933-1959|~|Cuba -- Social life and customs|~|Cuba -- Periodicals,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1w984q5,,International Digital Ephemera Project,manana-collection.csv,https://iiif.library.ucla.edu/collections/ark%3A%2F21198%2Fz15q7qm3
Work,,Man Sen Yat Po,,yes,ark:/21198/z1h15123,ark:/21198/z1fb75c1,,,,open,,1947-1958,1947/1958,,newspapers,chi,,Havana (Cuba),Casa de Artes y Tradiciones Chinas,text,unknown,"mantonia@patrimonio.ohc.cu, barriochino@patrimonio.ohc.cu",paged,,,,,,,,,,,,Chinese--Cuba | Chinese newspapers--Cuba,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz14n13mc,,International Digital Ephemera Project,mansenyatpo-collection.csv,https://iiif.library.ucla.edu/collections/ark%3A%2F21198%2Fz1h15123
Work,,La Palabra,La Palabra: Diario del Pueblo por el Pueblo y para el Pueblo,yes,ark:/21198/z1xd3r0n,ark:/21198/z1fb75c1,,,ihc_palabra,open,,1935,1935,,newspapers,spa,,Havana (Cuba),Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",paged,,"Marinello, Juan, 1898-1977|~|Domínguez Navarro, Ofelia, 1894-1976",,,,,,,,,,Cuba -- Politics and government -- 1933-1959|~|Cuba -- Social life and customs|~|Cuba -- Periodicals,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1h15rbc,,International Digital Ephemera Project,palabra-collection.csv,https://iiif.library.ucla.edu/collections/ark%3A%2F21198%2Fz1xd3r0n
Work,,El Progreso,,no,ark:/21198/z10s29nt,ark:/21198/z1fb75c1,,,ihc_progreso,open,,1920-1925,1920/1925,,newspapers,spa,,Havana (Cuba),Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",paged,,,"Dominguez, José|~|Brea, Manuel|~|Zapata, Felipe",,,,,,,,,Cuba -- Politics and government -- 1909-1933|~|Cuba -- Social life and customs|~|Cuba -- Periodicals,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1wd6mtk,,International Digital Ephemera Project,progreso-collection.csv,https://iiif.library.ucla.edu/collections/ark%3A%2F21198%2Fz10s29nt
Work,,La Razón,,no,ark:/21198/z1x37qxr,ark:/21198/z1fb75c1,,,ihc_razon,open,,1876-1884,1876/1884,,newspapers,spa,,Havana (Cuba),Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",paged,,,,,,,,,,,digitized microfilm,Cuba -- Politics and government -- 19th century|~|Cuba -- Social life and customs|~|Cuba -- Periodicals,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz14f4j4j,,International Digital Ephemera Project,razon-collection.csv,https://iiif.library.ucla.edu/collections/ark%3A%2F21198%2Fz1x37qxr
Work,Collection,Resistencia,,no,ark:/21198/z15j08xc,ark:/21198/z1fb75c1,,,ihc_resistencia,open,,1958-03/1958-11,1958-03/1958-11,,newspapers,spa,,Havana (Cuba),Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",multi-part,,,,,,,,,,Movimiento Resistencia Civica La Habana,,Cuba -- Politics and government -- 1933-1959|~|Cuba -- Social life and customs|~|Cuba -- Periodicals,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1mk96gh,,International Digital Ephemera Project,resistencia-collection.csv,https://iiif.library.ucla.edu/collections/ark%3A%2F21198%2Fz15j08xc
Work,,Respuestas,,no,ark:/21198/z1dc0vmt,ark:/21198/z1fb75c1,,,ihc_respuestas,open,,1955-1956,1955/1956,,newspapers,spa,,Havana (Cuba),Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",paged,,Departamento de Prensa del C.N. Del P.S.P,,,,,,,,,digitized microfilm,Cuba -- Politics and government -- 1933-1959|~|Cuba -- Social life and customs|~|Cuba -- Periodicals,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz14f4jd4,,International Digital Ephemera Project,respuestas-collection.csv,https://iiif.library.ucla.edu/collections/ark%3A%2F21198%2Fz1dc0vmt
Work,,Revista Mediodía,,yes,ark:/21198/z1tx63gf,ark:/21198/z1fb75c1,,,ihc_mediodia,open,,1936-1939,1936/1939,,newspapers,spa,,Havana (Cuba),Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",paged,,"Marinello, Juan, 1898-1977|~|Montenegro, Carlos|~|Guillén, Nicolás, 1902-1989|~|Villar Buceta, Aurora, 1907-1981|~|Rodríguez, Carlos Rafael, 1913-1997|~|Augier, Ángel, 1910-2010|~|García Buchaca, Edith|~|Rigol, Jorge|~|Portuondo, José Antonio, 1911-1996",,,,,,,,,,Cuba -- Politics and government -- 1933-1959|~|Cuba -- Social life and customs|~|Cuba -- Periodicals,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1xh2d96,,International Digital Ephemera Project,revista-mediodia-collection.csv,https://iiif.library.ucla.edu/collections/ark%3A%2F21198%2Fz1tx63gf
Work,,Revista Social,,yes,ark:/21198/z1cg1tbx,ark:/21198/z1fb75c1,,,ohch_social,open,,1915-1937,1915/1937,,magazines (periodicals),spa,,Havana (Cuba),Oficina del Historiador de La Ciudad de La Habana,text,unknown,biblioteca@patrimonio.ohc.cu,paged,,"Massaguer, Conrado",,,,,,,Magazine was digitized by Oficina del Historiador de La Ciudad de La Habana.,Massaguer Brothers,,Cuba -- Social life and customs|~|Cuba -- Periodicals,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1jh5s2b,,International Digital Ephemera Project,revista-social-collection.csv,https://iiif.library.ucla.edu/collections/ark%3A%2F21198%2Fz1cg1tbx
Work,Collection,Revolución,Revolución Organo del Movimiento 26 de julio,no,ark:/21198/z1zg9dcq,ark:/21198/z1fb75c1,,,ihc_revolucion,open,,1959-1961,1959/1961,,newspapers,spa,,Havana (Cuba),Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",multi-part,,,,,,,,,,,,Cuba -- Politics and government -- 1959-1990|~|Cuba -- Social life and customs|~|Cuba -- Periodicals,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1j12qfg,,International Digital Ephemera Project,revolucion-collection.csv,https://iiif.library.ucla.edu/collections/ark%3A%2F21198%2Fz1zg9dcq
