Object Type,Title,Item ARK,Parent ARK,Local identifier,File Name,Item Sequence,Thumbnail,Visibility,AltTitle.other,collection.physical,Contents note,Date.created,Date.normalized,Description.latitude,Description.longitude,Description.note,Format.dimensions,Format.extent,Format.medium,Genre,Language,Name.creator,Name.subject,Note,Place of origin,Publisher.publisherName,Repository,Type.typeOfResource,Rights.copyrightStatus,Rights.rightsHolderContact,Statement of Responsibility,Subject geographic,Subject temporal,viewingHint,Name.director,Name.editor,Subject,Contributer.ChiefEditor,IIIF Manifest URL
Work,1951-01-14 (vol. 01 | no. 29),ark:/21198/z1sv0hmx,ark:/21198/z1710v9s,ihc_ultimahora_19510114,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1k09z4z,open,,,"Redacción y Administractión: Reina 161, altos|~|Horizontal creases on pages. There are checkmarks and scribbles outlining certain sections of the text in pen/marker.",14 de enero de 1951|~|1951-01-14,1951-01-14,,,,,4 pages,,newspapers,spa,,,,Havana (Cuba),,Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",,,,paged,"Velis López, Julio",Talleres Universal Gráfica S.A.,Cuba -- Politics and government -- 1933-1959|~|Cuba -- Social life and customs|~|Cuba -- Periodicals,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1sv0hmx/manifest
Work,1951-01-17 (vol. 01 | no. 31),ark:/21198/z1p29rzv,ark:/21198/z1710v9s,ihc_ultimahora_19510117,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1225npx,open,,,Horizontal creases on pages. There are checkmarks and scribbles outlining certain sections of the text in pen/marker.,17 de enero de 1951|~|1951-01-17,1951-01-17,,,,,4 pages,,newspapers,spa,,,,Havana (Cuba),,Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",,,,paged,"Velis López, Julio",,Cuba -- Politics and government -- 1933-1959|~|Cuba -- Social life and customs|~|Cuba -- Periodicals,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1p29rzv/manifest
Work,1951-01-18 (vol. 01 | no. 32),ark:/21198/z1j9917x,ark:/21198/z1710v9s,ihc_ultimahora_19510118,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1j12x3g,open,,,Horizontal creases on pages. There are checkmarks and scribbles outlining certain sections of the text in pen/marker.,18 de enero 1951|~|1951-01-18,1951-01-18,,,,,4 pages,,newspapers,spa,,,,Havana (Cuba),,Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",,,,paged,"Velis López, Julio",,Cuba -- Politics and government -- 1933-1959|~|Cuba -- Social life and customs|~|Cuba -- Periodicals,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1j9917x/manifest
Work,1951-01-19 (vol. 01 | no. 33),ark:/21198/z1dj88h6,ark:/21198/z1710v9s,ihc_ultimahora_19510119,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1128mjj,open,,,Horizontal creases on pages. There are checkmarks and scribbles outlining certain sections of the text in pen/marker.,19 de enero 1951|~|1951-01-19,1951-01-19,,,,,4 pages,,newspapers,spa,,,,Havana (Cuba),,Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",,,,paged,"Velis López, Julio",,Cuba -- Politics and government -- 1933-1959|~|Cuba -- Social life and customs|~|Cuba -- Periodicals,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1dj88h6/manifest
Work,1951-01-20 (vol. 01 | no. 34),ark:/21198/z18w675r,ark:/21198/z1710v9s,ihc_ultimahora_19510120,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1h44kbz,open,,,"Redacción y Administractión: Reina 161, altos|~|Horizontal creases on pages. Visible tear on left edge of page 4. There are checkmarks and scribbles outlining certain sections of the text in pen/marker.",20 de enero 1951|~|1951-01-20,1951-01-20,,,,,4 pages,,newspapers,spa,,,,Havana (Cuba),,Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",,,,paged,"Velis López, Julio",Talleres Universal Gráfica S.A.,Cuba -- Politics and government -- 1933-1959|~|Cuba -- Social life and customs|~|Cuba -- Periodicals,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz18w675r/manifest
Work,1951-01-21 (vol. 01 | no. 34),ark:/21198/z1545ggs,ark:/21198/z1710v9s,ihc_ultimahora_19510121,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1031kbt,open,,,"Redacción y Administractión: Reina 161, altos|~|Horizontal creases on pages. There are checkmarks and scribbles outlining certain sections of the text in pen/marker. Issue no. is listed as ""34"" which is the previous issue's number, therefore this is a probable typo.",21 de enero 1951|~|1951-01-21,1951-01-21,,,,,4 pages,,newspapers,spa,,,,Havana (Cuba),,Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",,,,paged,"Velis López, Julio",Talleres Universal Gráfica S.A.,Cuba -- Politics and government -- 1933-1959|~|Cuba -- Social life and customs|~|Cuba -- Periodicals,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1545ggs/manifest
Work,1951-01-23 (vol. 01 | no. 35),ark:/21198/z11c4qqm,ark:/21198/z1710v9s,ihc_ultimahora_19510123,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1g47j71,open,,,"Redacción y Administractión: Reina 161, altos|~|Horizontal creases on pages.",23 de enero de 1951|~|1951-01-23,1951-01-23,,,,,4 pages,,newspapers,spa,,,,Havana (Cuba),,Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",,,,paged,"Velis López, Julio",Talleres Universal Gráfica S.A.,Cuba -- Politics and government -- 1933-1959|~|Cuba -- Social life and customs|~|Cuba -- Periodicals,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz11c4qqm/manifest
Work,1951-01-24 (vol. 01 | no. 36),ark:/21198/z1wm4768,ark:/21198/z1710v9s,ihc_ultimahora_19510124,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1z34sjt,open,,,"Redacción y Administractión: Reina 161, altos|~|Horizontal creases on pages. There are checkmarks and scribbles outlining certain sections of the text in pen/marker.",24 de enero de 1951|~|1951-01-24,1951-01-24,,,,,4 pages,,newspapers,spa,,,,Havana (Cuba),,Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",,,,paged,"Velis López, Julio",Talleres Universal Gráfica S.A.,Cuba -- Politics and government -- 1933-1959|~|Cuba -- Social life and customs|~|Cuba -- Periodicals,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1wm4768/manifest
Work,1951-01-25 (vol. 01 | no. 37),ark:/21198/z1rv3gjf,ark:/21198/z1710v9s,ihc_ultimahora_19510125,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1f50h2r,open,,,"Redacción y Administractión: Reina 161, altos|~|Horizontal creases on pages. There are checkmarks and scribbles outlining certain sections of the text in pen/marker.",25 de enero de 1951|~|1951-01-25,1951-01-25,,,,,4 pages,,newspapers,spa,,,,Havana (Cuba),,Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",,,,paged,"Velis López, Julio",Talleres Universal Gráfica S.A.,Cuba -- Politics and government -- 1933-1959|~|Cuba -- Social life and customs|~|Cuba -- Periodicals,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1rv3gjf/manifest
Work,1951-01-26 (vol. 01 | no. 38),ark:/21198/z1n32qr4,ark:/21198/z1710v9s,ihc_ultimahora_19510126,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1x37rdf,open,,,"Redacción y Administractión: Reina 161, altos|~|Horizontal creases on pages. There are checkmarks and scribbles outlining certain sections of the text in pen/marker.",26 de enero de 1951|~|1951-01-26,1951-01-26,,,,,4 pages,,newspapers,spa,,,,Havana (Cuba),,Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",,,,paged,"Velis López, Julio",Talleres Universal Gráfica S.A.,Cuba -- Politics and government -- 1933-1959|~|Cuba -- Social life and customs|~|Cuba -- Periodicals,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1n32qr4/manifest
Work,1951-01-27 (vol. 01 | no. 39),ark:/21198/z1hb202n,ark:/21198/z1710v9s,ihc_ultimahora_19510127,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1d53fs5,open,,,"Redacción y Administractión: Reina 161, altos|~|Horizontal creases on pages. There are checkmarks and scribbles outlining certain sections of the text in pen/marker.",27 de enero de 1951|~|1951-01-27,1951-01-27,,,,,4 pages,,newspapers,spa,,,,Havana (Cuba),,Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",,,,paged,"Velis López, Julio",Talleres Universal Gráfica S.A.,Cuba -- Politics and government -- 1933-1959|~|Cuba -- Social life and customs|~|Cuba -- Periodicals,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1hb202n/manifest
Work,1951-01-28 (vol. 01 | no. 40),ark:/21198/z1cn9xr9,ark:/21198/z1710v9s,ihc_ultimahora_19510128,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1w69dnx,open,,,"Redacción y Administractión: Reina 161, altos|~|Horizontal creases on pages. There are checkmarks throughout in pen/marker.",28 de enero de 1951|~|1951-01-28,1951-01-28,,,,,4 pages,,newspapers,spa,,,,Havana (Cuba),,Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",,,,paged,"Velis López, Julio",Talleres Universal Gráfica S.A.,Cuba -- Politics and government -- 1933-1959|~|Cuba -- Social life and customs|~|Cuba -- Periodicals,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1cn9xr9/manifest
Work,1951-01-30 (vol. 01 | no. 41),ark:/21198/z17w961c,ark:/21198/z1710v9s,ihc_ultimahora_19510130,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1c56dp7,open,,,"Redacción y Administractión: Reina 161, altos|~|Horizontal creases on pages. There are checkmarks and scribbles outlining certain sections of the text in pen/marker. page 4 has dark smudges throughout page.",30 de enero de 1951|~|1951-01-30,1951-01-30,,,,,4 pages,,newspapers,spa,,,,Havana (Cuba),,Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",,,,paged,"Velis López, Julio",Talleres Universal Gráfica S.A.,Cuba -- Politics and government -- 1933-1959|~|Cuba -- Social life and customs|~|Cuba -- Periodicals,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz17w961c/manifest
Work,1951-01-31 (vol. 01 | no. 41),ark:/21198/z1448f8h,ark:/21198/z1710v9s,ihc_ultimahora_19510131,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1v72cjj,open,,,"Redacción y Administractión: Reina 161, altos|~|Horizontal creases on pages. There are checkmarks and scribbles outlining certain sections of the text in pen/marker. Text is faded throughout.",31 de enero de 1951|~|1951-01-31,1951-01-31,,,,,4 pages,,newspapers,spa,,,,Havana (Cuba),,Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",,,,paged,"Velis López, Julio",Talleres Universal Gráfica S.A.,Cuba -- Politics and government -- 1933-1959|~|Cuba -- Social life and customs|~|Cuba -- Periodicals,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1448f8h/manifest
Work,1951-02-01 (vol. 01 | no. 42),ark:/21198/z10c7pjs,ark:/21198/z1710v9s,ihc_ultimahora_19510201,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1b59cn6,open,,,"Redacción y Administractión: Reina 161, altos|~|Horizontal creases on pages. There are checkmarks and scribbles outlining certain sections of the text in pen/marker.",1 de febrero de 1951|~|1951-02-01,1951-02-01,,,,,4 pages,,newspapers,spa,,,,Havana (Cuba),,Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",,,,paged,"Velis López, Julio",Talleres Universal Gráfica S.A.,Cuba -- Politics and government -- 1933-1959|~|Cuba -- Social life and customs|~|Cuba -- Periodicals,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz10c7pjs/manifest
Work,1951-02-02 (vol. 01 | no. 43),ark:/21198/z1vm762w,ark:/21198/z1710v9s,ihc_ultimahora_19510202,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1t75bb8,open,,,"Redacción y Administractión: Reina 161, altos|~|Horizontal creases on pages. There are checkmarks and scribbles outlining certain sections of the text in pen/marker. Text is faded/blurry throughout.",2 de febrero de 1951|~|1951-02-02,1951-02-02,,,,,4 pages,,newspapers,spa,,,,Havana (Cuba),,Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",,,,paged,"Velis López, Julio",Talleres Universal Gráfica S.A.,Cuba -- Politics and government -- 1933-1959|~|Cuba -- Social life and customs|~|Cuba -- Periodicals,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1vm762w/manifest
Work,1951-02-03 (vol. 01 | no. 44),ark:/21198/z1qv6fb5,ark:/21198/z1710v9s,ihc_ultimahora_19510203,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz19911w7,open,,,"Redacción y Administractión: Reina 161, altos|~|Horizontal creases on pages. There are checkmarks and scribbles outlining certain sections of the text in pen/marker. Text is faded/blurry throughout.",3 de febrero de 1951|~|1951-02-03,1951-02-03,,,,,4 pages,,newspapers,spa,,,,Havana (Cuba),,Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",,,,paged,"Velis López, Julio",,Cuba -- Politics and government -- 1933-1959|~|Cuba -- Social life and customs|~|Cuba -- Periodicals,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1qv6fb5/manifest
Work,1951-02-04 (vol. 01 | no. 45),ark:/21198/z1m35pk9,ark:/21198/z1710v9s,ihc_ultimahora_19510204,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1s7895f,open,,,"Redacción y Administractión: Reina 161, altos|~|Horizontal creases on pages. There are checkmarks and scribbles outlining certain sections of the text in pen/marker. Text is faded/blurry throughout.",4 de febrero de 1951|~|1951-02-04,1951-02-04,,,,,4 pages,,newspapers,spa,,,,Havana (Cuba),,Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",,,,paged,"Velis López, Julio",,Cuba -- Politics and government -- 1933-1959|~|Cuba -- Social life and customs|~|Cuba -- Periodicals,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1m35pk9/manifest
Work,1951-02-06 (vol. 01 | no. 47),ark:/21198/z1gf3nb6,ark:/21198/z1710v9s,ihc_ultimahora_19510206,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz18940tr,open,,,"Redacción y Administractión: Reina 161, altos|~|Horizontal creases on pages. There are checkmarks and scribbles outlining certain sections of the text in pen/marker. Text is faded/blurry throughout.",6 de febrero de 1951|~|1951-02-06,1951-02-06,,,,,4 pages,,newspapers,spa,,,,Havana (Cuba),,Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",,,,paged,"Velis López, Julio",,Cuba -- Politics and government -- 1933-1959|~|Cuba -- Social life and customs|~|Cuba -- Periodicals,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1gf3nb6/manifest
Work,1951-02-07 (vol. 01 | no. 48),ark:/21198/z1bp2wpc,ark:/21198/z1710v9s,ihc_ultimahora_19510207,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1r8183h,open,,,"Redacción y Administractión: Reina 161, altos|~|Horizontal creases on pages. There are checkmarks next to text in pen/marker. Text is faded/blurry throughout.",7 de febrero de 1951|~|1951-02-07,1951-02-07,,,,,4 pages,,newspapers,spa,,,,Havana (Cuba),,Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",,,,paged,"Velis López, Julio",,Cuba -- Politics and government -- 1933-1959|~|Cuba -- Social life and customs|~|Cuba -- Periodicals,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1bp2wpc/manifest
Work,1951-02-08 (vol. 01 | no. 49),ark:/21198/z16x24w4,ark:/21198/z1710v9s,ihc_ultimahora_19510208,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1796zkn,open,,,"Redacción y Administractión: Reina 161, altos|~|Horizontal creases on pages. There are checkmarks and scribbles outlining certain sections of the text in pen/marker.  Text is faded/blurry throughout.",8 de febrero de 1951|~|1951-02-08,1951-02-08,,,,,4 pages,,newspapers,spa,,,,Havana (Cuba),,Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",,,,paged,"Velis López, Julio",Talleres Universal Gráfica S.A.,Cuba -- Politics and government -- 1933-1959|~|Cuba -- Social life and customs|~|Cuba -- Periodicals,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz16x24w4/manifest
Work,1951-02-09 (vol. 01 | no. 50),ark:/21198/z1351d54,ark:/21198/z1710v9s,ihc_ultimahora_19510209,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1q8470k,open,,,"Redacción y Administractión: Reina 161, altos|~|Horizontal creases on pages. There are checkmarks and scribbles outlining certain sections of the text in pen/marker. Text is faded/blurry throughout.",9 de febrero de 1951|~|1951-02-09,1951-02-09,,,,,4 pages,,newspapers,spa,,,,Havana (Cuba),,Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",,,,paged,"Velis López, Julio",Talleres Universal Gráfica S.A.,Cuba -- Politics and government -- 1933-1959|~|Cuba -- Social life and customs|~|Cuba -- Periodicals,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1351d54/manifest
Work,1951-02-10 (vol. 01 | no. 51),ark:/21198/z1zd0wqw,ark:/21198/z1710v9s,ihc_ultimahora_19510210.,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1699xf8,open,,,"Redacción y Administractión: Reina 161, altos|~|Horizontal creases on pages. There are checkmarks and scribbles outlining certain sections of the text in pen/marker. Text is faded/blurry throughout.",10 de febrero de 1951|~|1951-02-10,1951-02-10,,,,,4 pages,,newspapers,spa,,,,Havana (Cuba),,Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",,,,paged,"Velis López, Julio",Talleres Universal Gráfica S.A.,Cuba -- Politics and government -- 1933-1959|~|Cuba -- Social life and customs|~|Cuba -- Periodicals,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1zd0wqw/manifest
