Object Type,Title,Item ARK,Parent ARK,File Name,Visibility,Thumbnail,AltTitle.other,collection.physical,Item Sequence,Contents note,Date.created,Date.normalized,Description.latitude,Description.longitude,Description.note,Format.dimensions,Format.extent,Format.medium,Genre,Language,Local identifier,Name.creator,Name.subject,Note,Place of origin,Publisher.publisherName,Repository,Type.typeOfResource,Rights.copyrightStatus,Rights.rightsHolderContact,Statement of Responsibility,Subject geographic,Subject temporal,viewingHint,Name.editor,Subject,IIIF Manifest URL
Work,1974-11-25,ark:/21198/z12j874r,ark:/21198/z1f787wx,,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1fb71r9,,,,,1974-11-25,1974-11-25,,,,,4 pages,,newspapers,chi,,,,,"Havana, (Cuba)",,Casa de Artes y Tradiciones Chinas,text,,"mantonia@patrimonio.ohc.cu, barriochino@patrimonio.ohc.cu",,,,paged,,Chinese -- Cuba|~|Chinese newspapers -- Cuba,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz12j874r/manifest
Work,1974-11-26,ark:/21198/z1xw6f2s,ark:/21198/z1f787wx,,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1xd30jq,,,,,1974-11-26,1974-11-26,,,,,4 pages,,newspapers,chi,,,,,"Havana, (Cuba)",,Casa de Artes y Tradiciones Chinas,text,,"mantonia@patrimonio.ohc.cu, barriochino@patrimonio.ohc.cu",,,,paged,,Chinese -- Cuba|~|Chinese newspapers -- Cuba,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1xw6f2s/manifest
Work,1974-11-27,ark:/21198/z1t45pd8,ark:/21198/z1f787wx,,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1dc00pc,,,,,1974-11-27,1974-11-27,,,,,4 pages,,newspapers,chi,,,,,"Havana, (Cuba)",,Casa de Artes y Tradiciones Chinas,text,,"mantonia@patrimonio.ohc.cu, barriochino@patrimonio.ohc.cu",,,,paged,,Chinese -- Cuba|~|Chinese newspapers -- Cuba,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1t45pd8/manifest
Work,1974-11-28,ark:/21198/z1jm4602,ark:/21198/z1f787wx,,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1wd5zdz,,,,,1974-11-28,1974-11-28,,,,,4 pages,,newspapers,chi,,,,,"Havana, (Cuba)",,Casa de Artes y Tradiciones Chinas,text,,"mantonia@patrimonio.ohc.cu, barriochino@patrimonio.ohc.cu",,,,paged,,Chinese -- Cuba|~|Chinese newspapers -- Cuba,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1jm4602/manifest
Work,1974-11-29,ark:/21198/z1dv3f50,ark:/21198/z1f787wx,,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1cc2zk2,,,,Some of the text can't be read due to silverfish damage,1974-11-29,1974-11-29,,,,,4 pages,,newspapers,chi,,,,,"Havana, (Cuba)",,Casa de Artes y Tradiciones Chinas,text,,"mantonia@patrimonio.ohc.cu, barriochino@patrimonio.ohc.cu",,,,paged,,Chinese -- Cuba|~|Chinese newspapers -- Cuba,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1dv3f50/manifest
Work,1974-11-30,ark:/21198/z1pc4xq0,ark:/21198/z1f787wx,,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1vd8x74,,,,Some of the text can't be read due to silverfish damage,1974-11-30,1974-11-30,,,,,4 pages,,newspapers,chi,,,,,"Havana, (Cuba)",,Casa de Artes y Tradiciones Chinas,text,,"mantonia@patrimonio.ohc.cu, barriochino@patrimonio.ohc.cu",,,,paged,,Chinese -- Cuba|~|Chinese newspapers -- Cuba,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1pc4xq0/manifest
Work,1975-10-11,ark:/21198/z1932pd4,ark:/21198/z1f787wx,,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1bg4mv0,,,,,1975-10-11,1975-10-11,,,,,4 pages,,newspapers,chi,,,,,"Havana, (Cuba)",,Casa de Artes y Tradiciones Chinas,text,,"mantonia@patrimonio.ohc.cu, barriochino@patrimonio.ohc.cu",,,,paged,,Chinese -- Cuba|~|Chinese newspapers -- Cuba,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1932pd4/manifest
Work,1975-10-13,ark:/21198/z15b1xr9,ark:/21198/z1f787wx,,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1tf1w4r,,,,,1975-10-13,1975-10-13,,,,,4 pages,,newspapers,chi,,,,,"Havana, (Cuba)",,Casa de Artes y Tradiciones Chinas,text,,"mantonia@patrimonio.ohc.cu, barriochino@patrimonio.ohc.cu",,,,paged,,Chinese -- Cuba|~|Chinese newspapers -- Cuba,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz15b1xr9/manifest
Work,1975-10-14,ark:/21198/z11n9wcv,ark:/21198/z1f787wx,,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz19g7kp5,,,,,1975-10-14,1975-10-14,,,,,4 pages,,newspapers,chi,,,,,"Havana, (Cuba)",,Casa de Artes y Tradiciones Chinas,text,,"mantonia@patrimonio.ohc.cu, barriochino@patrimonio.ohc.cu",,,,paged,,Chinese -- Cuba|~|Chinese newspapers -- Cuba,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz11n9wcv/manifest
Work,1975-10-15,ark:/21198/z1ww9d09,ark:/21198/z1f787wx,,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1sf4v1t,,,,,1975-10-15,1975-10-15,,,,,4 pages,,newspapers,chi,,,,,"Havana, (Cuba)",,Casa de Artes y Tradiciones Chinas,text,,"mantonia@patrimonio.ohc.cu, barriochino@patrimonio.ohc.cu",,,,paged,,Chinese -- Cuba|~|Chinese newspapers -- Cuba,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1ww9d09/manifest
Work,1975-10-16,ark:/21198/z1s48n9b,ark:/21198/z1f787wx,,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz18h0jhw,,,,,1975-10-16,1975-10-16,,,,,4 pages,,newspapers,chi,,,,,"Havana, (Cuba)",,Casa de Artes y Tradiciones Chinas,text,,"mantonia@patrimonio.ohc.cu, barriochino@patrimonio.ohc.cu",,,,paged,,Chinese -- Cuba|~|Chinese newspapers -- Cuba,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1s48n9b/manifest
Work,1975-10-17,ark:/21198/z1nc7wj5,ark:/21198/z1f787wx,,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1rf7sw1,,,,,1975-10-17,1975-10-17,,,,,4 pages,,newspapers,chi,,,,,"Havana, (Cuba)",,Casa de Artes y Tradiciones Chinas,text,,"mantonia@patrimonio.ohc.cu, barriochino@patrimonio.ohc.cu",,,,paged,,Chinese -- Cuba|~|Chinese newspapers -- Cuba,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1nc7wj5/manifest
Work,1975-10-18,ark:/21198/z1hm74qg,ark:/21198/z1f787wx,,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz17h3hb2,,,,,1975-10-18,1975-10-18,,,,,4 pages,,newspapers,chi,,,,,"Havana, (Cuba)",,Casa de Artes y Tradiciones Chinas,text,,"mantonia@patrimonio.ohc.cu, barriochino@patrimonio.ohc.cu",,,,paged,,Chinese -- Cuba|~|Chinese newspapers -- Cuba,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1hm74qg/manifest
Work,1975-10-20,ark:/21198/z1cv6d05,ark:/21198/z1f787wx,,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1qj9g4x,,,,,1975-10-20,1975-10-20,,,,,4 pages,,newspapers,chi,,,,,"Havana, (Cuba)",,Casa de Artes y Tradiciones Chinas,text,,"mantonia@patrimonio.ohc.cu, barriochino@patrimonio.ohc.cu",,,,paged,,Chinese -- Cuba|~|Chinese newspapers -- Cuba,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1cv6d05/manifest
Work,1975-10-21,ark:/21198/z1835nbn,ark:/21198/z1f787wx,,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz16h6g74,,,,,1975-10-21,1975-10-21,,,,,4 pages,,newspapers,chi,,,,,"Havana, (Cuba)",,Casa de Artes y Tradiciones Chinas,text,,"mantonia@patrimonio.ohc.cu, barriochino@patrimonio.ohc.cu",,,,paged,,Chinese -- Cuba|~|Chinese newspapers -- Cuba,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1835nbn/manifest
Work,1975-10-22,ark:/21198/z14f3m06,ark:/21198/z1f787wx,,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1pk2f03,,,,,1975-10-22,1975-10-22,,,,,4 pages,,newspapers,chi,,,,,"Havana, (Cuba)",,Casa de Artes y Tradiciones Chinas,text,,"mantonia@patrimonio.ohc.cu, barriochino@patrimonio.ohc.cu",,,,paged,,Chinese -- Cuba|~|Chinese newspapers -- Cuba,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz14f3m06/manifest
Work,1975-10-23,ark:/21198/z10p2vbc,ark:/21198/z1f787wx,,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz15h9f46,,,,,1975-10-23,1975-10-23,,,,,4 pages,,newspapers,chi,,,,,"Havana, (Cuba)",,Casa de Artes y Tradiciones Chinas,text,,"mantonia@patrimonio.ohc.cu, barriochino@patrimonio.ohc.cu",,,,paged,,Chinese -- Cuba|~|Chinese newspapers -- Cuba,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz10p2vbc/manifest
Work,1975-10-24,ark:/21198/z1vx2bwh,ark:/21198/z1f787wx,,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1nk5ctv,,,,,1975-10-24,1975-10-24,,,,,4 pages,,newspapers,chi,,,,,"Havana, (Cuba)",,Casa de Artes y Tradiciones Chinas,text,,"mantonia@patrimonio.ohc.cu, barriochino@patrimonio.ohc.cu",,,,paged,,Chinese -- Cuba|~|Chinese newspapers -- Cuba,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1vx2bwh/manifest
Work,1975-10-25,ark:/21198/z1r51m3m,ark:/21198/z1f787wx,,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz14n13dp,,,,,1975-10-25,1975-10-25,,,,,4 pages,,newspapers,chi,,,,,"Havana, (Cuba)",,Casa de Artes y Tradiciones Chinas,text,,"mantonia@patrimonio.ohc.cu, barriochino@patrimonio.ohc.cu",,,,paged,,Chinese -- Cuba|~|Chinese newspapers -- Cuba,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1r51m3m/manifest
Work,1975-10-27,ark:/21198/z1md0v90,ark:/21198/z1f787wx,,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1mk8bqx,,,,,1975-10-27,1975-10-27,,,,,4 pages,,newspapers,chi,,,,,"Havana, (Cuba)",,Casa de Artes y Tradiciones Chinas,text,,"mantonia@patrimonio.ohc.cu, barriochino@patrimonio.ohc.cu",,,,paged,,Chinese -- Cuba|~|Chinese newspapers -- Cuba,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1md0v90/manifest
Work,1975-10-28,ark:/21198/z1gn03kn,ark:/21198/z1f787wx,,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz13n429r,,,,,1975-10-28,1975-10-28,,,,,4 pages,,newspapers,chi,,,,,"Havana, (Cuba)",,Casa de Artes y Tradiciones Chinas,text,,"mantonia@patrimonio.ohc.cu, barriochino@patrimonio.ohc.cu",,,,paged,,Chinese -- Cuba|~|Chinese newspapers -- Cuba,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1gn03kn/manifest
Work,1975-10-29,ark:/21198/z1bv9bzq,ark:/21198/z1f787wx,,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1km19n0,,,,,1975-10-29,1975-10-29,,,,,4 pages,,newspapers,chi,,,,,"Havana, (Cuba)",,Casa de Artes y Tradiciones Chinas,text,,"mantonia@patrimonio.ohc.cu, barriochino@patrimonio.ohc.cu",,,,paged,,Chinese -- Cuba|~|Chinese newspapers -- Cuba,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1bv9bzq/manifest
Work,1975-10-30,ark:/21198/z17679k4,ark:/21198/z1f787wx,,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz12n713g,,,,,1975-10-30,1975-10-30,,,,,4 pages,,newspapers,chi,,,,,"Havana, (Cuba)",,Casa de Artes y Tradiciones Chinas,text,,"mantonia@patrimonio.ohc.cu, barriochino@patrimonio.ohc.cu",,,,paged,,Chinese -- Cuba|~|Chinese newspapers -- Cuba,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz17679k4/manifest
Work,1975-10-31,ark:/21198/z13f6jzr,ark:/21198/z1f787wx,,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1jm48hm,,,,,1975-10-31,1975-10-31,,,,,4 pages,,newspapers,chi,,,,,"Havana, (Cuba)",,Casa de Artes y Tradiciones Chinas,text,,"mantonia@patrimonio.ohc.cu, barriochino@patrimonio.ohc.cu",,,,paged,,Chinese -- Cuba|~|Chinese newspapers -- Cuba,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz13f6jzr/manifest
Work,1976-10-02,ark:/21198/z1zp62fd,ark:/21198/z1f787wx,,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz11n9zxv,,,,,1976-10-02,1976-10-02,,,,,4 pages,,newspapers,chi,,,,,"Havana, (Cuba)",,Casa de Artes y Tradiciones Chinas,text,,"mantonia@patrimonio.ohc.cu, barriochino@patrimonio.ohc.cu",,,,paged,,Chinese -- Cuba|~|Chinese newspapers -- Cuba,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1zp62fd/manifest
Work,1976-10-04,ark:/21198/z1tx59qp,ark:/21198/z1f787wx,,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1hq5xs5,,,,,1976-10-04,1976-10-04,,,,,4 pages,,newspapers,chi,,,,,"Havana, (Cuba)",,Casa de Artes y Tradiciones Chinas,text,,"mantonia@patrimonio.ohc.cu, barriochino@patrimonio.ohc.cu",,,,paged,,Chinese -- Cuba|~|Chinese newspapers -- Cuba,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1tx59qp/manifest
Work,1976-10-05,ark:/21198/z1q54jwx,ark:/21198/z1f787wx,,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz10p2xtg,,,,,1976-10-05,1976-10-05,,,,,4 pages,,newspapers,chi,,,,,"Havana, (Cuba)",,Casa de Artes y Tradiciones Chinas,text,,"mantonia@patrimonio.ohc.cu, barriochino@patrimonio.ohc.cu",,,,paged,,Chinese -- Cuba|~|Chinese newspapers -- Cuba,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1q54jwx/manifest
Work,1976-10-06,ark:/21198/z1kd3t5m,ark:/21198/z1f787wx,,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1gq8wmb,,,,,1976-10-06,1976-10-06,,,,,4 pages,,newspapers,chi,,,,,"Havana, (Cuba)",,Casa de Artes y Tradiciones Chinas,text,,"mantonia@patrimonio.ohc.cu, barriochino@patrimonio.ohc.cu",,,,paged,,Chinese -- Cuba|~|Chinese newspapers -- Cuba,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1kd3t5m/manifest
Work,1976-10-07,ark:/21198/z1fn32h5,ark:/21198/z1f787wx,,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1zp64zz,,,,,1976-10-07,1976-10-07,,,,,4 pages,,newspapers,chi,,,,,"Havana, (Cuba)",,Casa de Artes y Tradiciones Chinas,text,,"mantonia@patrimonio.ohc.cu, barriochino@patrimonio.ohc.cu",,,,paged,,Chinese -- Cuba|~|Chinese newspapers -- Cuba,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1fn32h5/manifest
Work,1976-10-08,ark:/21198/z1b01151,ark:/21198/z1f787wx,,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1fr1vf2,,,,,1976-10-08,1976-10-08,,,,,4 pages,,newspapers,chi,,,,,"Havana, (Cuba)",,Casa de Artes y Tradiciones Chinas,text,,"mantonia@patrimonio.ohc.cu, barriochino@patrimonio.ohc.cu",,,,paged,,Chinese -- Cuba|~|Chinese newspapers -- Cuba,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1b01151/manifest
Work,1976-10-11,ark:/21198/z16708jn,ark:/21198/z1f787wx,,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1xs7t7x,,,,,1976-10-11,1976-10-11,,,,,4 pages,,newspapers,chi,,,,,"Havana, (Cuba)",,Casa de Artes y Tradiciones Chinas,text,,"mantonia@patrimonio.ohc.cu, barriochino@patrimonio.ohc.cu",,,,paged,,Chinese -- Cuba|~|Chinese newspapers -- Cuba,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz16708jn/manifest
Work,1976-10-12,ark:/21198/z12f9htc,ark:/21198/z1f787wx,,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1dr4t9p,,,,,1976-10-12,1976-10-12,,,,,4 pages,,newspapers,chi,,,,,"Havana, (Cuba)",,Casa de Artes y Tradiciones Chinas,text,,"mantonia@patrimonio.ohc.cu, barriochino@patrimonio.ohc.cu",,,,paged,,Chinese -- Cuba|~|Chinese newspapers -- Cuba,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz12f9htc/manifest
Work,1976-10-13,ark:/21198/z1xp918k,ark:/21198/z1f787wx,,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1wt0s33,,,,,1976-10-13,1976-10-13,,,,,4 pages,,newspapers,chi,,,,,"Havana, (Cuba)",,Casa de Artes y Tradiciones Chinas,text,,"mantonia@patrimonio.ohc.cu, barriochino@patrimonio.ohc.cu",,,,paged,,Chinese -- Cuba|~|Chinese newspapers -- Cuba,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1xp918k/manifest
Work,1976-10-14,ark:/21198/z1sx88gz,ark:/21198/z1f787wx,,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1cr7s6r,,,,,1976-10-14,1976-10-14,,,,,4 pages,,newspapers,chi,,,,,"Havana, (Cuba)",,Casa de Artes y Tradiciones Chinas,text,,"mantonia@patrimonio.ohc.cu, barriochino@patrimonio.ohc.cu",,,,paged,,Chinese -- Cuba|~|Chinese newspapers -- Cuba,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1sx88gz/manifest
Work,1976-10-15,ark:/21198/z1p57hs0,ark:/21198/z1f787wx,,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1vt3qxv,,,,,1976-10-15,1976-10-15,,,,,4 pages,,newspapers,chi,,,,,"Havana, (Cuba)",,Casa de Artes y Tradiciones Chinas,text,,"mantonia@patrimonio.ohc.cu, barriochino@patrimonio.ohc.cu",,,,paged,,Chinese -- Cuba|~|Chinese newspapers -- Cuba,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1p57hs0/manifest
Work,1976-10-16,ark:/21198/z1jh5gfj,ark:/21198/z1f787wx,,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1bs0r1g,,,,,1976-10-16,1976-10-16,,,,,4 pages,,newspapers,chi,,,,,"Havana, (Cuba)",,Casa de Artes y Tradiciones Chinas,text,,"mantonia@patrimonio.ohc.cu, barriochino@patrimonio.ohc.cu",,,,paged,,Chinese -- Cuba|~|Chinese newspapers -- Cuba,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1jh5gfj/manifest
Work,1976-10-18,ark:/21198/z1dr4qsq,ark:/21198/z1f787wx,,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1tt6pr1,,,,,1976-10-18,1976-10-18,,,,,4 pages,,newspapers,chi,,,,,"Havana, (Cuba)",,Casa de Artes y Tradiciones Chinas,text,,"mantonia@patrimonio.ohc.cu, barriochino@patrimonio.ohc.cu",,,,paged,,Chinese -- Cuba|~|Chinese newspapers -- Cuba,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1dr4qsq/manifest
Work,1976-10-19,ark:/21198/z1904040,ark:/21198/z1f787wx,,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz19w2dc9,,,,Incorrectly dated as 1976-10-13 on title page,1976-10-19,1976-10-19,,,,,4 pages,,newspapers,chi,,,,,"Havana, (Cuba)",,Casa de Artes y Tradiciones Chinas,text,,"mantonia@patrimonio.ohc.cu, barriochino@patrimonio.ohc.cu",,,,paged,,Chinese -- Cuba|~|Chinese newspapers -- Cuba,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1904040/manifest
Work,1976-10-20,ark:/21198/z15737d8,ark:/21198/z1f787wx,,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1st9nmn,,,,,1976-10-20,1976-10-20,,,,,4 pages,,newspapers,chi,,,,,"Havana, (Cuba)",,Casa de Artes y Tradiciones Chinas,text,,"mantonia@patrimonio.ohc.cu, barriochino@patrimonio.ohc.cu",,,,paged,,Chinese -- Cuba|~|Chinese newspapers -- Cuba,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz15737d8/manifest
