Object Type,Title,Item ARK,Parent ARK,File Name,Item Sequence,Thumbnail,Contents note,Visibility,Date.created,Date.normalized,Format.extent,Genre,Language,Local identifier,Place of origin,Repository,Type.typeOfResource,Rights.copyrightStatus,Rights.rightsHolderContact,viewingHint,Name.director,Contributor.subdirector,Name.editor,Subject,IIIF Manifest URL
Work,1937-03-05 (año 02 | no. 11),ark:/21198/z16h75k8,ark:/21198/z1tx63gf,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1n618k5,,open,5 de marzo de 1937|~|1937-03-05,1937-03-05,20 pages,newspapers,spa,ihc_mediodia_19370305,Havana (Cuba),Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",paged,"Guillén, Nicolás, 1902-1989|~|Rodríguez, Carlos Rafael, 1913-1991","Rodríguez, Carlos Rafael, 1913-1991",,Cuba -- Politics and government -- 1933-1959|~|Cuba -- Social life and customs|~|Cuba -- Periodicals,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz16h75k8/manifest
Work,1937-03-15 (año 02 | no. 12),ark:/21198/z12r6dw0,ark:/21198/z1tx63gf,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1282wq6,,open,15 de marzo de 1937|~|1937-03-15,1937-03-15,20 pages,newspapers,spa,ihc_mediodia_19370315,Havana (Cuba),Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",paged,"Guillén, Nicolás, 1902-1989|~|Rodríguez, Carlos Rafael, 1913-1990","Rodríguez, Carlos Rafael, 1913-1990",,Cuba -- Politics and government -- 1933-1959|~|Cuba -- Social life and customs|~|Cuba -- Periodicals,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz12r6dw0/manifest
Work,1937-03-25 (año 02 | no. 13),ark:/21198/z1z05xb4,ark:/21198/z1tx63gf,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1gb4s7v,,open,25 de marzo de 1937|~|1937-03-25,1937-03-25,20 pages,newspapers,spa,ihc_mediodia_19370325,Havana (Cuba),Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",paged,"Guillén, Nicolás, 1902-1989|~|Rodríguez, Carlos Rafael, 1913-1989","Rodríguez, Carlos Rafael, 1913-1989",,Cuba -- Politics and government -- 1933-1959|~|Cuba -- Social life and customs|~|Cuba -- Periodicals,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1z05xb4/manifest
Work,1937-04-05 (año 02 | no. 14),ark:/21198/z1t755ms,ark:/21198/z1tx63gf,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1w97zc7,,open,5 de abril de 1937|~|1937-04-05,1937-04-05,20 pages,newspapers,spa,ihc_mediodia_19370405,Havana (Cuba),Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",paged,"Guillén, Nicolás, 1902-1989|~|Rodríguez, Carlos Rafael, 1913-1988","Rodríguez, Carlos Rafael, 1913-1988",,Cuba -- Politics and government -- 1933-1959|~|Cuba -- Social life and customs|~|Cuba -- Periodicals,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1t755ms/manifest
Work,1937-04-15 (año 02 | no. 15),ark:/21198/z1pg4dt5,ark:/21198/z1tx63gf,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz19c9kkj,,open,15 de abril de 1937|~|1937-04-15,1937-04-15,20 pages,newspapers,spa,ihc_mediodia_19370415,Havana (Cuba),Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",paged,"Guillén, Nicolás, 1902-1989|~|Rodríguez, Carlos Rafael, 1913-1987","Rodríguez, Carlos Rafael, 1913-1987",,Cuba -- Politics and government -- 1933-1959|~|Cuba -- Social life and customs|~|Cuba -- Periodicals,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1pg4dt5/manifest
Work,1937-04-25 (año 02 | no. 16),ark:/21198/z1jq3p5r,ark:/21198/z1tx63gf,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1qg1g3r,,open,25 de abril de 1937|~|1937-04-25,1937-04-25,20 pages,newspapers,spa,ihc_mediodia_19370425,Havana (Cuba),Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",paged,"Guillén, Nicolás, 1902-1989|~|Rodríguez, Carlos Rafael, 1913-1986","Rodríguez, Carlos Rafael, 1913-1986",,Cuba -- Politics and government -- 1933-1959|~|Cuba -- Social life and customs|~|Cuba -- Periodicals,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1jq3p5r/manifest
Work,1937-05-05 (año 02 | no. 17),ark:/21198/z1f21msr,ark:/21198/z1tx63gf,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz14j33cz,,open,5 de mayo de 1937|~|1937-05-05,1937-05-05,20 pages,newspapers,spa,ihc_mediodia_19370505,Havana (Cuba),Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",paged,"Guillén, Nicolás, 1902-1989|~|Rodríguez, Carlos Rafael, 1913-1985","Rodríguez, Carlos Rafael, 1913-1985",,Cuba -- Politics and government -- 1933-1959|~|Cuba -- Social life and customs|~|Cuba -- Periodicals,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1f21msr/manifest
Work,1937-05-15 (año 02 | no. 18),ark:/21198/z1990w5s,ark:/21198/z1tx63gf,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1jm4zwt,,open,15 de mayo de 1937|~|1937-05-15,1937-05-15,20 pages,newspapers,spa,ihc_mediodia_19370515,Havana (Cuba),Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",paged,"Guillén, Nicolás, 1902-1989|~|Rodríguez, Carlos Rafael, 1913-1984","Rodríguez, Carlos Rafael, 1913-1984",,Cuba -- Politics and government -- 1933-1959|~|Cuba -- Social life and customs|~|Cuba -- Periodicals,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1990w5s/manifest
Work,1937-05-25 (año 02 | no. 19),ark:/21198/z15j04ff,ark:/21198/z1tx63gf,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1zp6vbk,,open,25 de mayo de 1937|~|1937-05-25,1937-05-25,20 pages,newspapers,spa,ihc_mediodia_19370525,Havana (Cuba),Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",paged,"Guillén, Nicolás, 1902-1989|~|Rodríguez, Carlos Rafael, 1913-1983","Rodríguez, Carlos Rafael, 1913-1983",,Cuba -- Politics and government -- 1933-1959|~|Cuba -- Social life and customs|~|Cuba -- Periodicals,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz15j04ff/manifest
Work,1937-06-05 (año 02 | no. 20),ark:/21198/z11r9cq5,ark:/21198/z1tx63gf,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1cr8gkb,,open,5 de junio de 1937|~|1937-06-05,1937-06-05,20 pages,newspapers,spa,ihc_mediodia_19370605,Havana (Cuba),Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",paged,"Guillén, Nicolás, 1902-1989|~|Rodríguez, Carlos Rafael, 1913-1982","Rodríguez, Carlos Rafael, 1913-1982",,Cuba -- Politics and government -- 1933-1959|~|Cuba -- Social life and customs|~|Cuba -- Periodicals,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz11r9cq5/manifest
Work,1937-06-15 (año 02 | no. 21),ark:/21198/z1x08w6r,ark:/21198/z1tx63gf,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1sv0c06,,open,15 de junio de 1937|~|1937-06-15,1937-06-15,20 pages,newspapers,spa,ihc_mediodia_19370615,Havana (Cuba),Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",paged,"Guillén, Nicolás, 1902-1989|~|Rodríguez, Carlos Rafael, 1913-1981","Rodríguez, Carlos Rafael, 1913-1981",,Cuba -- Politics and government -- 1933-1959|~|Cuba -- Social life and customs|~|Cuba -- Periodicals,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1x08w6r/manifest
Work,1937-06-25 (año 02 | no. 22),ark:/21198/z1s784fz,ark:/21198/z1tx63gf,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz16x207z,,open,25 de junio de 1937|~|1937-06-25,1937-06-25,20 pages,newspapers,spa,ihc_mediodia_19370625,Havana (Cuba),Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",paged,"Guillén, Nicolás, 1902-1989|~|Rodríguez, Carlos Rafael, 1913-1980","Rodríguez, Carlos Rafael, 1913-1980",,Cuba -- Politics and government -- 1933-1959|~|Cuba -- Social life and customs|~|Cuba -- Periodicals,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1s784fz/manifest
Work,1937-07-06 (año 02 | no. 23),ark:/21198/z1ng7cs4,ark:/21198/z1tx63gf,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1n03vr4,,open,6 de julio de 1937|~|1937-07-06,1937-07-06,20 pages,newspapers,spa,ihc_mediodia_19370706,Havana (Cuba),Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",paged,"Guillén, Nicolás, 1902-1989|~|Rodríguez, Carlos Rafael, 1913-1979","Rodríguez, Carlos Rafael, 1913-1979",,Cuba -- Politics and government -- 1933-1959|~|Cuba -- Social life and customs|~|Cuba -- Periodicals,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1ng7cs4/manifest
Work,1937-07-13 (año 02 | no. 24),ark:/21198/z1ht5bg4,ark:/21198/z1tx63gf,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz11z6smq,,open,13 de julio de 1937|~|1937-07-13,1937-07-13,20 pages,newspapers,spa,ihc_mediodia_19370713,Havana (Cuba),Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",paged,"Guillén, Nicolás, 1902-1989|~|Rodríguez, Carlos Rafael, 1913-1978","Rodríguez, Carlos Rafael, 1913-1978",,Cuba -- Politics and government -- 1933-1959|~|Cuba -- Social life and customs|~|Cuba -- Periodicals,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1ht5bg4/manifest
Work,1937-07-20 (año 02 | no. 25),ark:/21198/z1d24ktm,ark:/21198/z1tx63gf,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1g18p1b,,open,20 de julio de 1937|~|1937-07-20,1937-07-20,20 pages,newspapers,spa,ihc_mediodia_19370720,Havana (Cuba),Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",paged,"Guillén, Nicolás, 1902-1989|~|Rodríguez, Carlos Rafael, 1913-1977","Rodríguez, Carlos Rafael, 1913-1977",,Cuba -- Politics and government -- 1933-1959|~|Cuba -- Social life and customs|~|Cuba -- Periodicals,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1d24ktm/manifest
Work,1937-07-27 (año 02 | no. 26),ark:/21198/z1893v39,ark:/21198/z1tx63gf,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1w40jkk,,open,27 de julio de 1937|~|1937-07-27,1937-07-27,20 pages,newspapers,spa,ihc_mediodia_19370727,Havana (Cuba),Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",paged,"Guillén, Nicolás, 1902-1989|~|Rodríguez, Carlos Rafael, 1913-1976","Rodríguez, Carlos Rafael, 1913-1976",,Cuba -- Politics and government -- 1933-1959|~|Cuba -- Social life and customs|~|Cuba -- Periodicals,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1893v39/manifest
Work,1937-08-03 (año 02 | no. 27),ark:/21198/z14j33bh,ark:/21198/z1tx63gf,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz19625sw,,open,3 de agosto de 1937|~|1937-08-03,1937-08-03,20 pages,newspapers,spa,ihc_mediodia_19370803,Havana (Cuba),Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",paged,"Guillén, Nicolás, 1902-1989|~|Rodríguez, Carlos Rafael, 1913-1975","Rodríguez, Carlos Rafael, 1913-1975",,Cuba -- Politics and government -- 1933-1959|~|Cuba -- Social life and customs|~|Cuba -- Periodicals,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz14j33bh/manifest
Work,1937-08-10 (año 02 | no. 28),ark:/21198/z10s2bkb,ark:/21198/z1tx63gf,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1q842b0,,open,10 de agosto de 1937|~|1937-08-10,1937-08-10,20 pages,newspapers,spa,ihc_mediodia_19370810,Havana (Cuba),Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",paged,"Guillén, Nicolás, 1902-1989|~|Rodríguez, Carlos Rafael, 1913-1974","Rodríguez, Carlos Rafael, 1913-1974",,Cuba -- Politics and government -- 1933-1959|~|Cuba -- Social life and customs|~|Cuba -- Periodicals,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz10s2bkb/manifest
Work,1937-08-17 (año 02 | no. 29),ark:/21198/z1w11v1g,ark:/21198/z1tx63gf,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz14b5pkc,,open,17 de agosto de 1937|~|1937-08-17,1937-08-17,20 pages,newspapers,spa,ihc_mediodia_19370817,Havana (Cuba),Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",paged,"Guillén, Nicolás, 1902-1989|~|Rodríguez, Carlos Rafael, 1913-1973","Rodríguez, Carlos Rafael, 1913-1973",,Cuba -- Politics and government -- 1933-1959|~|Cuba -- Social life and customs|~|Cuba -- Periodicals,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1w11v1g/manifest
Work,1937-08-24 (año 02 | no. 30),ark:/21198/z1r813dg,ark:/21198/z1tx63gf,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1jd7k14,,open,24 de agosto de 1937|~|1937-08-24,1937-08-24,19 pages,newspapers,spa,ihc_mediodia_19370824,Havana (Cuba),Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",paged,"Guillén, Nicolás, 1902-1989|~|Rodríguez, Carlos Rafael, 1913-1972","Rodríguez, Carlos Rafael, 1913-1972",,Cuba -- Politics and government -- 1933-1959|~|Cuba -- Social life and customs|~|Cuba -- Periodicals,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1r813dg/manifest
Work,1937-08-31 (año 02 | no. 31),ark:/21198/z1mk9211,ark:/21198/z1tx63gf,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1379xxx,,open,31 de agosto de 1937|~|1937-08-31,1937-08-31,19 pages,newspapers,spa,ihc_mediodia_19370831,Havana (Cuba),Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",paged,"Guillén, Nicolás, 1902-1989|~|Rodríguez, Carlos Rafael, 1913-1971","Rodríguez, Carlos Rafael, 1913-1971",,Cuba -- Politics and government -- 1933-1959|~|Cuba -- Social life and customs|~|Cuba -- Periodicals,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1mk9211/manifest
Work,1937-09-07 (año 02 | no. 32),ark:/21198/z1gt89c6,ark:/21198/z1tx63gf,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1n03vsk,,open,7 de septiembre de 1937|~|1937-09-07,1937-09-07,20 pages,newspapers,spa,ihc_mediodia_19370907,Havana (Cuba),Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",paged,"Guillén, Nicolás, 1902-1989|~|Rodríguez, Carlos Rafael, 1913-1970","Rodríguez, Carlos Rafael, 1913-1970",,Cuba -- Politics and government -- 1933-1959|~|Cuba -- Social life and customs|~|Cuba -- Periodicals,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1gt89c6/manifest
Work,1937-09-14 (año 02 | no. 33),ark:/21198/z1c27jns,ark:/21198/z1tx63gf,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1225h09,,open,14 de septiembre de 1937|~|1937-09-14,1937-09-14,20 pages,newspapers,spa,ihc_mediodia_19370914,Havana (Cuba),Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",paged,"Guillén, Nicolás, 1902-1989|~|Rodríguez, Carlos Rafael, 1913-1969","Rodríguez, Carlos Rafael, 1913-1969",,Cuba -- Politics and government -- 1933-1959|~|Cuba -- Social life and customs|~|Cuba -- Periodicals,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1c27jns/manifest
Work,1937-09-21 (año 02 | no. 34),ark:/21198/z1796sv5,ark:/21198/z1tx63gf,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1g47cj0,,open,21 de septiembre de 1937|~|1937-09-21,1937-09-21,20 pages,newspapers,spa,ihc_mediodia_19370921,Havana (Cuba),Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",paged,"Guillén, Nicolás, 1902-1989|~|Rodríguez, Carlos Rafael, 1913-1968","Rodríguez, Carlos Rafael, 1913-1968",,Cuba -- Politics and government -- 1933-1959|~|Cuba -- Social life and customs|~|Cuba -- Periodicals,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1796sv5/manifest
Work,1937-09-27 (año 02 | no. 35),ark:/21198/z13j6247,ark:/21198/z1tx63gf,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1w6980r,,open,27 de septiembre de 1937|~|1937-09-27,1937-09-27,20 pages,newspapers,spa,ihc_mediodia_19370927,Havana (Cuba),Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",paged,"Guillén, Nicolás, 1902-1989|~|Rodríguez, Carlos Rafael, 1913-1967","Rodríguez, Carlos Rafael, 1913-1967",,Cuba -- Politics and government -- 1933-1959|~|Cuba -- Social life and customs|~|Cuba -- Periodicals,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz13j6247/manifest
Work,1937-10-04 (año 02 | no. 36),ark:/21198/z1zs5jm3,ark:/21198/z1tx63gf,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1990w84,,open,4 de octubre de 1937|~|1937-10-04,1937-10-04,19 pages,newspapers,spa,ihc_mediodia_19371004,Havana (Cuba),Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",paged,"Guillén, Nicolás, 1902-1989|~|Rodríguez, Carlos Rafael, 1913-1966","Rodríguez, Carlos Rafael, 1913-1966",,Cuba -- Politics and government -- 1933-1959|~|Cuba -- Social life and customs|~|Cuba -- Periodicals,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1zs5jm3/manifest
