Object Type,Title,Item ARK,Parent ARK,Visibility,Item Sequence,File Name,Thumbnail,AltTitle.other,collection.physical,Contents note,Date.created,Date.normalized,Description.note,Format.dimensions,Format.extent,Format.medium,Genre,Language,Local identifier,Name.creator,Name.subject,Place of origin,Publisher.publisherName,Repository,Type.typeOfResource,Rights.copyrightStatus,Rights.rightsHolderContact,Statement of Responsibility,Subject geographic,Subject temporal,viewingHint,Name.director,Name.editor,Subject,volume | issue,Contributer.administrator,Contributer,IIIF Manifest URL
Work,1897-12-12,ark:/21198/z1k961v5,ark:/21198/z10g6cgt,open,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1gf3mvh,,,There is a faded stamp on the cover on the middle of the page. Parts of the text is blurry and faded with smudge marks on numerous pages.,Diciembre 12 de 1897|~|1897-12-12,1897-12-12,,,24 pages,digitized microfilm,newspapers,spa,ihc_cayohueso_18971212,,,Havana (Cuba),,Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",,,,paged,"Vilaró, Dr. Juan","Figueroa , S.",Cuba -- Politics and government -- 19th century|~|Cuba -- Social life and customs|~|Cuba -- Periodicals,vol. 01 | no. 11,"Peláez, Angel","Alonso, Eduardo|~|Armona, Dr. J. Ramón|~|Betances, Dr. R. E.|~|Borrero, Dr. Estéban|~|Byrne, Bonifacio|~|Cañizares, Dr. Felipe G.|~|Carbó, Luis |Craín, Horatio|~|Cuervo, Dr. Sebastián|~|Figueredo, Fernando|~|Gálvez, Wen|~|Guerra, Benjamín|~|González, Francisco M.|~|Miró, Fidel|~|Moré, Manuel|~|Porro A., Dr. Nicolás|~|Quesada, Gonzalo de|~|Revilla Dr. Carlos|~|Rosas, Julio|~|Sellén, Francisco|~|Uhrbach, Federico|~|Uhrbach Carlos Pío|~|Dulce María Borrero|~|Bosch y J. Barroso",https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1k961v5/manifest
Work,1897-12-26,ark:/21198/z1fj594v,ark:/21198/z10g6cgt,open,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1ck16ts,,,Frail page edges. There is a faded stamp on the cover on the middle of the page. Parts of the text is blurry and faded with smudge marks on numerous pages.,Diciembre 26 de 1897|~|1897-12-26,1897-12-26,,,24 pages,digitized microfilm,newspapers,spa,ihc_cayohueso_18971226,,,Havana (Cuba),,Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",,,,paged,"Vilaró, Dr. Juan","Figueroa , S.",Cuba -- Politics and government -- 19th century|~|Cuba -- Social life and customs|~|Cuba -- Periodicals,vol. 01 | no. 12,"Peláez, Angel","Alonso, Eduardo|~|Armona, Dr. J. Ramón|~|Betances, Dr. R. E.|~|Borrero, Dr. Estéban|~|Byrne, Bonifacio|~|Cañizares, Dr. Felipe G.|~|Carbó, Luis |Craín, Horatio|~|Cuervo, Dr. Sebastián|~|Figueredo, Fernando|~|Gálvez, Wen|~|Guerra, Benjamín|~|González, Francisco M.|~|Miró, Fidel|~|Moré, Manuel|~|Porro A., Dr. Nicolás|~|Quesada, Gonzalo de|~|Revilla Dr. Carlos|~|Rosas, Julio|~|Sellén, Francisco|~|Uhrbach, Federico|~|Uhrbach Carlos Pío|~|Dulce María Borrero|~|Bosch y J. Barroso",https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1fj594v/manifest
Work,1898-01-09,ark:/21198/z19s4jb7,ark:/21198/z10g6cgt,open,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz18m03d6,,,Frail page edges. There is a faded stamp on the cover on the middle of the page.Text is blurry and faded with smudge marks on numerous pages.,Enero 9 de 1898|~|1898-01-09,1898-01-09,,,16 pages,digitized microfilm,newspapers,spa,ihc_cayohueso_18980109,,,Havana (Cuba),,Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",,,,paged,"Vilaró, Dr. Juan","Figueroa , S.",Cuba -- Politics and government -- 19th century|~|Cuba -- Social life and customs|~|Cuba -- Periodicals,vol. 02 | no. 13,"Peláez, Angel","Alonso, Eduardo|~|Armona, Dr. J. Ramón|~|Betances, Dr. R. E.|~|Borrero, Dr. Estéban|~|Byrne, Bonifacio|~|Cañizares, Dr. Felipe G.|~|Carbó, Luis |Craín, Horatio|~|Cuervo, Dr. Sebastián|~|Figueredo, Fernando|~|Gálvez, Wen|~|Guerra, Benjamín|~|González, Francisco M.|~|Miró, Fidel|~|Moré, Manuel|~|Porro A., Dr. Nicolás|~|Quesada, Gonzalo de|~|Revilla Dr. Carlos|~|Rosas, Julio|~|Sellén, Francisco|~|Uhrbach, Federico|~|Uhrbach Carlos Pío|~|Zayas, Ledo, Alfredo|~|Dulce María Borrero|~|Bosch y J. Barroso",https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz19s4jb7/manifest
Work,1898-01-23,ark:/21198/z1613sn8,ark:/21198/z10g6cgt,open,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz16q4qkt,,,There is a faded stamp on the cover on the middle of the page.Text is blurry and faded with smudge marks on numerous pages.,Enero 23 de 1898|~|1898-01-23,1898-01-23,,,16 pages,digitized microfilm,newspapers,spa,ihc_cayohueso_18980123,,,Havana (Cuba),,Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",,,,paged,"Vilaró, Dr. Juan","Figueroa , S.",Cuba -- Politics and government -- 19th century|~|Cuba -- Social life and customs|~|Cuba -- Periodicals,vol. 02 | no. 14,"Peláez, Angel","Alonso, Eduardo|~|Armona, Dr. J. Ramón|~|Betances, Dr. R. E.|~|Borrero, Dr. Estéban|~|Byrne, Bonifacio|~|Cañizares, Dr. Felipe G.|~|Carbó, Luis |Craín, Horatio|~|Cuervo, Dr. Sebastián|~|Figueredo, Fernando|~|Gálvez, Wen|~|Guerra, Benjamín|~|González, Francisco M.|~|Miró, Fidel|~|Moré, Manuel|~|Porro A., Dr. Nicolás|~|Quesada, Gonzalo de|~|Revilla Dr. Carlos|~|Rosas, Julio|~|Sellén, Francisco|~|Uhrbach, Federico|~|Uhrbach Carlos Pío|~|Zayas, Ledo, Alfredo|~|Dulce María Borrero|~|Bosch y J. Barroso",https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1613sn8/manifest
Work,1898-02-13,ark:/21198/z12c1rcq,ark:/21198/z10g6cgt,open,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz14r0nb2,,,Text is blurry and faded with smudge marks on numerous pages.,Febrero 13 de 1898|~|1898-02-13,1898-02-13,,,16 pages,digitized microfilm,newspapers,spa,ihc_cayohueso_18980213,,,Havana (Cuba),,Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",,,,paged,"Vilaró, Dr. Juan","Figueroa , S.",Cuba -- Politics and government -- 19th century|~|Cuba -- Social life and customs|~|Cuba -- Periodicals,vol. 02 | no. 15,"Peláez, Angel","Alonso, Eduardo|~|Armona, Dr. J. Ramón|~|Betances, Dr. R. E.|~|Borrero, Dr. Estéban|~|Byrne, Bonifacio|~|Cañizares, Dr. Felipe G.|~|Cuervo, Dr. Sebastián|~|Faura, Francsíco|~|Figueredo, Fernando|~|Garcia Cisneros, Francisco|~|Guerra, Benjamín|~|González, Francisco M.|~|Miró, Fidel|~|Moré, Manuel|~|Pérez Carbó, Federico|~|Porro A., Dr. Nicolás|~|Pouble, Círilo|~|Quesada, Gonzalo de|~|Ramos Merlo, Aurelio|~|Revilla Dr. Carlos|~|Rosas, Julio|~|Sellén, Francisco|~|Tejera Diego Vicente|~|Uhrbach, Federico|~|Uhrbach Carlos Pío|~|Zayas, Ledo, Alfredo|~|Dulce María Borrero|~|Bosch y J. Barroso",https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz12c1rcq/manifest
Work,1898-02-27,ark:/21198/z1xm17vz,ark:/21198/z10g6cgt,open,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz12r6k1v,,,Text is blurry and faded.,Febrero 27 de 1898|~|1898-02-27,1898-02-27,,,24 pages,digitized microfilm,newspapers,spa,ihc_cayohueso_18980227,,,Havana (Cuba),,Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",,,,paged,"Vilaró, Dr. Juan","Figueroa , S.",Cuba -- Politics and government -- 19th century|~|Cuba -- Social life and customs|~|Cuba -- Periodicals,vol. 02 | no. 16,"Peláez, Angel","Alonso, Eduardo|~|Armona, Dr. J. Ramón|~|Betances, Dr. R. E.|~|Borrero, Dr. Estéban|~|Byrne, Bonifacio|~|Cañizares, Dr. Felipe G.|~|Cuervo, Dr. Sebastián|~|Faura, Francsíco|~|Figueredo, Fernando|~|Garcia Cisneros, Francisco|~|Guerra, Benjamín|~|González, Francisco M.|~|Miró, Fidel|~|Moré, Manuel|~|Pérez Carbó, Federico|~|Porro A., Dr. Nicolás|~|Pouble, Círilo|~|Quesada, Gonzalo de|~|Ramos Merlo, Aurelio|~|Revilla Dr. Carlos|~|Rosas, Julio|~|Sellén, Francisco|~|Tejera Diego Vicente|~|Uhrbach, Federico|~|Uhrbach Carlos Pío|~|Zayas, Ledo, Alfredo|~|Dulce María Borrero|~|Bosch y J. Barroso",https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1xm17vz/manifest
Work,1898-03-13,ark:/21198/z1sv0h36,ark:/21198/z10g6cgt,open,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1zw4dbh,,,There is a faded stamp on the cover on the middle of the page.Text is blurry and faded on numerous pages.,Marzo 13 de 1898|~|1898-03-13,1898-03-13,,,20 pages,digitized microfilm,newspapers,spa,ihc_cayohueso_18980313,,,Havana (Cuba),,Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",,,,paged,"Vilaró, Dr. Juan","Figueroa , S.",Cuba -- Politics and government -- 19th century|~|Cuba -- Social life and customs|~|Cuba -- Periodicals,vol. 02 | no. 17,"Peláez, Angel","Alonso, Eduardo|~|Armona, Dr. J. Ramón|~|Betances, Dr. R. E.|~|Borrero, Dr. Estéban|~|Byrne, Bonifacio|~|Cañizares, Dr. Felipe G.|~|Cuervo, Dr. Sebastián|~|Faura, Francsíco|~|Figueredo, Fernando|~|Garcia Cisneros, Francisco|~|Guerra, Benjamín|~|González, Francisco M.|~|Miró, Fidel|~|Moré, Manuel|~|Pérez Carbó, Federico|~|Porro A., Dr. Nicolás|~|Pouble, Círilo|~|Quesada, Gonzalo de|~|Ramos Merlo, Aurelio|~|Revilla Dr. Carlos|~|Rosas, Julio|~|Sellén, Francisco|~|Tejera Diego Vicente|~|Uhrbach, Federico|~|Uhrbach Carlos Pío|~|Zayas, Ledo, Alfredo|~|Dulce María Borrero|~|Bosch y J. Barroso",https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1sv0h36/manifest
Work,1898-03-27,ark:/21198/z1p29rf4,ark:/21198/z10g6cgt,open,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1cz61jt,,,Text is blurry and faded on numerous pages.,Marzo 27 de 1898|~|1898-03-27,1898-03-27,,,21 pages,digitized microfilm,newspapers,spa,ihc_cayohueso_18980327,,,Havana (Cuba),,Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",,,,paged,"Vilaró, Dr. Juan","Figueroa , S.",Cuba -- Politics and government -- 19th century|~|Cuba -- Social life and customs|~|Cuba -- Periodicals,vol. 02 | no. 18,"Peláez, Angel","Alonso, Eduardo|~|Armona, Dr. J. Ramón|~|Betances, Dr. R. E.|~|Borrero, Dr. Estéban|~|Byrne, Bonifacio|~|Cañizares, Dr. Felipe G.|~|Cuervo, Dr. Sebastián|~|Faura, Francsíco|~|Figueredo, Fernando|~|Garcia Cisneros, Francisco|~|Guerra, Benjamín|~|González, Francisco M.|~|Miró, Fidel|~|Moré, Manuel|~|Palomino Rafael de Castro| Pérez Carbó, Federico|~|Porro A., Dr. Nicolás|~|Pouble, Círilo|~|Quesada, Gonzalo de|~|Ramos Merlo, Aurelio|~|Revilla Dr. Carlos|~|Rosas, Julio|~|Sellén, Francisco|~|Tejera Diego Vicente|~|Uhrbach, Federico|~|Uhrbach Carlos Pío|~|Zayas, Ledo, Alfredo|~|Dulce María Borrero|~|Bosch y J. Barroso",https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1p29rf4/manifest
Work,1898-04-10,ark:/21198/z1j990qs,ark:/21198/z10g6cgt,open,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1p875b2,,,There is a faded stamp on the cover on the middle of the page.Text is blurry and faded on numerous pages.,Abril 10 de 1898|~|1898-04-10,1898-04-10,,,20 pages,digitized microfilm,newspapers,spa,ihc_cayohueso_18980410,,,Havana (Cuba),,Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",,,,paged,"Vilaró, Dr. Juan","Figueroa , S.",Cuba -- Politics and government -- 19th century|~|Cuba -- Social life and customs|~|Cuba -- Periodicals,vol. 02 | no. 19,"Peláez, Angel","Alonso, Eduardo|~|Armona, Dr. J. Ramón|~|Betances, Dr. R. E.|~|Borrero, Dr. Estéban|~|Byrne, Bonifacio|~|Cañizares, Dr. Felipe G.|~|Cuervo, Dr. Sebastián|~|Faura, Francsíco|~|Figueredo, Fernando|~|Garcia Cisneros, Francisco|~|Guerra, Benjamín|~|González, Francisco M.|~|Miró, Fidel|~|Moré, Manuel|~|Palomino, Rafael de Castro|~|Pérez Carbó, Federico|~|Pierra, Fidel G.|~|Porro A., Dr. Nicolás|~|Pouble, Círilo|~|Quesada, Gonzalo de|~|Ramos Merlo, Aurelio|~|Revilla Dr. Carlos|~|Rosas, Julio|~|Sellén, Francisco|~|Tejera Diego Vicente|~|Uhrbach, Federico|~|Uhrbach Carlos Pío|~|Zayas, Ledo, Alfredo|~|Dulce María Borrero|~|Bosch y J. Barroso",https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1j990qs/manifest
Work,1898-04-30,ark:/21198/z1dj880g,ark:/21198/z10g6cgt,open,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz13b8sj0,,,There is a faded stamp on the cover on the middle of the page as well as on the left right corner of the last page. Text is blurry on numerous pages.,Abril 30 de 1898|~|1898-04-30,1898-04-30,,,21 pages,digitized microfilm,newspapers,spa,ihc_cayohueso_18980430,,,Havana (Cuba),,Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",,,,paged,"Vilaró, Dr. Juan","Figueroa , S.",Cuba -- Politics and government -- 19th century|~|Cuba -- Social life and customs|~|Cuba -- Periodicals,vol. 02 | no. 20,"Peláez, Angel","Alonso, Eduardo|~|Armona, Dr. J. Ramón|~|Betances, Dr. R. E.|~|Borrero, Dr. Estéban|~|Byrne, Bonifacio|~|Cañizares, Dr. Felipe G.|~|Cuervo, Dr. Sebastián|~|Faura, Francsíco|~|Figueredo, Fernando|~|Garcia Cisneros, Francisco|~|Guerra, Benjamín|~|González, Francisco M.|~|Miró, Fidel|~|Moré, Manuel|~|Palomino, Rafael de Castro|~|Pérez Carbó, Federico|~|Pierra, Fidel G.|~|Porro A., Dr. Nicolás|~|Pouble, Círilo|~|Quesada, Gonzalo de|~|Ramos Merlo, Aurelio|~|Revilla Dr. Carlos|~|Rosas, Julio|~|Sellén, Francisco|~|Tejera Diego Vicente|~|Uhrbach, Federico|~|Uhrbach Carlos Pío|~|Zayas, Ledo, Alfredo|~|Dulce María Borrero|~|Bosch y J. Barroso",https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1dj880g/manifest
